Date,Type,Registration,Operator,Fat.,Location,narrative,sources,phase,nature,departure_airport,destination_airport,country,location_detailed,category_code,category_name,confidence_score,classification_reason
2 Jan 2006,British Aerospace BAe-125-700A,P4-AOD,Avcom,3,"4,3 km W of Kharkov Airport (HRK)","The BAe-125-700A corporate jet was being repositioned from Moscow's Sheremetyevo Airport to Kharkiv, Ukraine, to pick up passengers for Lyon, France.As the aircraft was approaching Kharkiv, the flight crew selected flaps down at 4600 meters from the runway. However, there was an asymmetry in the released of the flaps (left flap 6Â°, right flap 20Â°). The flight crew lost control as the aircraft fell off to the left. The aircraft lost altitude until it hit treetops and impacting the shore of a lake. On impact, the aircraft exploded. The wreckage was scattered on the ice surface of the lake or sunk in the lake at 4330 m from the runway and 750 m from the extended centreline.",,Approach,Ferry/positioning,Moskva-Sheremetyevo Airport (SVO/UUEE),Kharkov Airport (HRK/UKHH),,"4,3 km W of Kharkov Airport (HRK) -Ukraine",LOC-I,Loss of Control - In Flight,0.95,"The report describes a loss of control during the approach phase due to flap asymmetry, leading to the aircraft falling off to the left and crashing."
3 Jan 2006,Antonov An-26,,Ruwenzori Air Asala,0,Fataki,"The Antonov An-26 was operating on a flight from Beni Airport (BNC) to Aru via Bunia Airport (BUX). The airplane reportedly crashed at Fataki, injuring the three passengers.",,En route,Unknown,Bunia Airport (BUX/FZKA),Aru Airstrip,,Fataki -Congo (Democratic Republic),CFIT,Controlled Flight Into Terrain,0.9,"The report indicates that the aircraft crashed during the en route phase without any mention of loss of control, suggesting a controlled flight into terrain."
5 Jan 2006,Cessna 560 Citation Ultra,N391QS,NetJets,0,"Minocqua-Noble F. Lee Airport, WI (ARV)","A Cessna 560 Citation Ultra, N391QS, sustained substantial damage when the right wing contacted runway 36 during a landing at the Lakeland Airport/Noble F. Lee Memorial Field (ARV), near Minocqua-Woodruff, Wisconsin, USA. The airplane subsequently departed the runway and impacted a snow bank.The operator reported that the airplane's nose landing gear wheel assembly and nose landing gear strut fork separated from the aircraft. The right side nose landing gear door separated from aircraft and there was damage to the radome, fuselage structure aft of nose landing gear well, right wing inboard flap panel and attaching structure, right wing upper and lower surfaces, and right wing tip.PROBABLE CAUSE: ""The Captain's failure to maintain adequate airspeed during the landing which resulted in a stall/mush. Factors were the gusty conditions, the snowbank in the safety area next to the runway, and the runway light that the airplane struck.""",,Landing,Passenger - Non-Scheduled/charter/Air Taxi,"Chicago-Executive Airport, IL (PWK/KPWK)","Minocqua-Noble F. Lee Airport, WI (ARV/KARV)",,"Minocqua-Noble F. Lee Airport, WI (ARV) -United States of America",ARC,Abnormal Runway Contact,0.95,"The report describes an incident where the aircraft's right wing contacted the runway during landing, which is indicative of abnormal runway contact. Additionally, the aircraft subsequently departed the runway and impacted a snow bank, further supporting the classification."
5 Jan 2006,Beechcraft A100 King Air,N700NC,North Country Aviation,0,"Sault Ste Marie Municipal-Sanderson Airport, MI (SSM)","A Beech A100, N700NC, operated as an emergency medical service flight, veered off runway 32 (5,235 feet by 100 feet, asphalt) during landing roll at Sault Ste Marie Municipal/Sanderson Field Airport, MI (ANJ). The airplane received substantial damage when it impacted snow covered terrain. Night instrument meteorological conditions prevailed at the time of the accident.The pilot stated that he executed the VOR 32 approach and broke out of a cloud layer about 900 feet above ground level (AGL). Approximately 2 miles from the airport, he could see the runway lights and that the runway was ""completely"" snow and slush covered such that the close in runway lights became difficult to see. The airplane crossed the runway threshold at 100 knots indicated airspeed and landed approximately 700 feet down the runway. The pilot stated he immediately felt the airplane decelerate in deep slush and veer to the left but there ""was nothing he could do"" before the airplane's left main landing gear wheel caught a snow bank.PROBABLE CAUSE: ""The inadequate in-flight decision to continue the approach to land, directional control not maintained, and the contaminated runway. Contributing factors were flight to destination alternate not performed, a notice to airman not issued by airport personnel relating to snow/slush contamination of the runway, and the snow bank that the airplane impacted during the landing.""",,Landing,Ambulance,"Traverse City-Cherry Capital Airport, MI (TVC/KTVC)","Sault Ste Marie Municipal-Sanderson Airport, MI (SSM/KANJ)",,"Sault Ste Marie Municipal-Sanderson Airport, MI (SSM) -United States of America",RE,Runway Excursion,0.95,"The aircraft veered off the runway during the landing roll, which is consistent with the definition of a runway excursion. Contributing factors included the contaminated runway and the snow bank impact."
5 Jan 2006,Douglas C-54G (DC-4),C-GXKN,Buffalo Airways,0,"Norman Wells Airport, NT (YVQ)","The C-54 departed Norman Wells at 16:52. Six minutes later, the crew declared an emergency due to a fire in the number 2 engine. The no. 2 engine quit and the crew tried to extinguish the fire by activating the fire bottles. This did not extinguish the fire. They feathered the no. 2 propeller and simultaneously the no. 1 propeller feathered. The crew decided to perform an off-field forced landing, but then the engine fire extinguished. They made it back to Norman Wells where an emergency landing on two engines was carried out. The aircraft departed the runway and came to a halt in deep snow some 60 feet from the edge of the runway.Findings as to Causes and Contributing Factors:1. Airworthiness Directive AD 48-12-01 mandates the replacement of the potentially hazardous fuel line, but the line had not been replaced on this aircraft.2. A fuel leak from the main fuel inlet line in the engine compartment of this cargo DC-4 caused an in-flight fire that spread into the nacelle and wing.3. The fuel-fed fire burned for an extended period of time because turning the fuel selector off is not required as part of the primary Engine Fire Checklist.",,En route,Cargo,"Norman Wells Airport, NT (YVQ/CYVQ)","Yellowknife Airport, NT (YZF/CYZF)",,"Norman Wells Airport, NT (YVQ) -Canada",F-NI,Fire/Smoke (Non-Impact),0.95,"The report describes an in-flight fire in the number 2 engine that was not the result of an impact. The fire was caused by a fuel leak and was not extinguished by the fire bottles, leading to an emergency landing."
9 Jan 2006,Dassault Falcon 20E,15-2233,Iranian Revolutionary Guard Corps Air Force - IRGCAF,11,12 km W of Orumiyeh,"Crash-landed in a field in poor weather conditions. The Head of the ground forces of the Revolutionary Guard, Ahmad Kazemi, was among those killed in the crash. Reports indicate that the crew did not get three greens after selecting the gear down while on approach to Orumiyeh Airport. A flypast was done so the control tower could observe the status of the landing gear. While circling the airplane suffered a double engine flame-out, reportedly as a result of engine icing. An emergency landing was attempted in a field, but the Falcon crashed.",,Unknown,Military,Tehran-Mehrabad Airport (THR/OIII),Urmia (Orumiyeh) Airport (OMH/OITR),,12 km W of Orumiyeh -Iran,ICE,Icing,0.9,"The report indicates that the aircraft suffered a double engine flame-out reportedly as a result of engine icing, which led to the crash landing."
10 Jan 2006,North American Rockwell T-39N Sabreliner,165524,United States Navy,4,"16 km S of Villanow, GA","The Sabreliner took off for a navigation training mission around 11:00 and was scheduled to arrive in Pensacola around 15:00. Last radio contact was at 11:20. The aircraft was found to have crashed on Johns Mountain. Debris was scattered over several hundreds yards. Investigators found the point of initial impact that probably caused the accident about a mile away from the crash site, where the airplane appears to have contacted a tree.",,En route,Military,"Chattanooga-Lovell Field, TN (CHA/KCHA)","Pensacola NAS, FL (NPA/KNPA)",,"16 km S of Villanow, GA -United States of America",CFIT,Controlled Flight Into Terrain,0.95,"The aircraft crashed into a mountain during en route phase without indication of loss of control, which aligns with the definition of Controlled Flight Into Terrain (CFIT)."
10 Jan 2006,de Havilland Canada DHC-6 Vista Liner 300,TI-BAF,Nature Air,0,Puerto Jiménez Airport (PJM),"The flight crew lost directional control, about 100 meters after commencing takeoff from runway 34 at Puerto JimÃ©nez Airport, Costa Rica. The aircraft veered off the left hand side of the runway and collided with obstacles and terrain. The right hand wing separated completely.Contributing factors:- Lack of real teamwork on the part of the captain of the aircraft.- Lack of vigilance on the part of the operator's administration and the DGAC.- Tiredness, fatigue and demotivation- Failure in the effective application of operational procedures due to loss of situational awareness and lack of concentration by both crew members.",,Take off,Passenger - Scheduled,Puerto Jimenez Airport (PJM/MRPJ),San JosÃ©-Tobias Bolanos International Airport (SYQ/MRPV),,Puerto JimÃ©nez Airport (PJM) -Costa Rica,LOC-G,Loss of Control - Ground,0.95,"The report describes a loss of directional control during the takeoff phase, resulting in the aircraft veering off the runway and colliding with obstacles and terrain. This fits the definition of 'Loss of Control - Ground'."
11 Jan 2006,Canadair CRJ-200ER,EC-JEN,Air Nostrum,0,Valencia Airport (VLC/LEVC),"Air Nostrum flight ANS8831, a CRJ-200ER, was struck by a Valencia Airport signal car.The car collided with the right wing of the aircraft, which was stopped at the H1 holding point of runway 30. In the preceding minutes, an Alitalia aircraft, with call sign AZ085, had taken off for Milan. After takeoff, IB1343 was cleared to enter runway 30 and ANS8831 was cleared to taxi to the H1 holding point vacated by IB1343.The Alitalia aircraft radioed, two minutes before the accident, to report a possible loss of an object during takeoff, advising a runway check. The controller called the signalman for an check of runway 12/30. The signalman moved with the car from the base house, along taxiway A to H1 to access the runway from there, and the accident occurred at this waiting point.CausesIt is considered that the collision of the signaling service vehicle with the EC-JEN aircraft, which was stopped at the H1 holding point, occurred because the signaller was not aware of the presence of the aircraft. The signaling car had been authorized by the Valencia Airport aerodrome control service to access the H1 holding point without having been informed of the presence of the EC-JEN aircraft, which in turn had been authorized to taxi to the same point minutes earlier.Possible influencing factors in the accident are considered to be:- Glare effect exerted by the road running to the left and converging with taxiway A when, in night light conditions, taxiing from the north apron to standby point H1.- Aircraft logo lights off, limiting visibility to the rear, especially in areas close to the runway.- Incorrect execution of runway inspection procedures.- Excessive speed of the signaling vehicle in the movement area.- Movement of the signaling vehicle along the edge of the taxiway.- Decreased visibility of the accident area from the control tower due to light conditions and the presence of trees.- Decreased attention in both controller and signalman due to:* A low workload environment, with perceived absence of threats and no demanding demands due to the high degree of experience on the job, and.* Work shifts that disrupt daytime cycles of activity.",,Standing,Passenger - Scheduled,Valencia Airport (VLC/LEVC),,,Valencia Airport (VLC/LEVC) -Spain,GCOL,Ground Collision,0.95,The report describes a collision between a signaling vehicle and an aircraft while the aircraft was on the ground at a holding point. This fits the definition of a ground collision involving an aircraft and a vehicle.
12 Jan 2006,Beechcraft B300 King Air 350,D-CUNO,Euroflug Frenzel,2,"0,5 km N of Freiburg Im Breisgau Airport","The Beechcraft B300 Super King Air 350 was approaching runway 16 of Freiburg Im Breisgau Airport, Germany in heavy fog. The crew descended too low and touched trees, 450 meters before the runway. The plane crashed in a small forest and burned out.The accident in which the aircraft touched in controlled descent trees while on final approach under visual flight rules (VFR), was due to the fact that:- The decision was made for a visual flight at night (night VFR), although the weather conditions were marginal,- The approach to the airfield in Freiburg was continued with insufficient visibility.",,Approach,Ferry/positioning,Karlsruhe/Baden-Baden Airport (FKB/EDSB),Freiburg Im Breisgau Airfield (EDTF),,"0,5 km N of Freiburg Im Breisgau Airport -Germany",CFIT,Controlled Flight Into Terrain,0.95,The aircraft collided with terrain (trees) during a controlled descent on final approach under visual flight rules in poor visibility conditions.
