Date,Type,Registration,Operator,Fat.,Location,narrative,sources,phase,nature,departure_airport,destination_airport,country,location_detailed,category_code,category_name,confidence_score,classification_reason
1 Jan 2000,Cessna 550 Citation II,N752CC,US Customs Service,0,"HOMESTEAD, Florida","The pilot-in-command (PIC) stated he was in cruise flight at 1,000 feet, 200 knots, 5 miles from the destination airport when the airplane experienced an in-flight collision with a bird on the leading edge of the right wing. The PIC notified the control tower and landed without further incident.Probable Cause: An inadvertent in-flight collision with a bird in cruise flight resulting in substantial damage to the airplane.",,Unknown,Ferry/positioning,"MIAMI          , FL (KTMB)",(KHST),,"HOMESTEAD, Florida -United States of America",BIRD,Bird Strike,1.0,"The report describes an in-flight collision with a bird, which is explicitly covered under the 'Bird Strike' category."
3 Jan 2000,Beechcraft 200 Super King Air,A2-AEZ,Kalahari Air Services & Charter,,unknown location,,,Unknown,Unknown,,,,unknown location -Unknown country,UNK,Unknown or Undetermined,1.0,The report lacks sufficient information to classify it into any specific ICAO occurrence category.
4 Jan 2000,Beechcraft B200 Super King Air,N895TT,Private,0,"JACKSON, Wyoming","While performing the ILS runway 18 approach to the airport, the pilot broke out of the clouds just above the decision height.  He had the aircraft aligned with what he believed were the REILs (flashing white strobe lights that identify the end of the runway), but instead turned out to be the PAPI (four lights installed in a single row located on the left side of the runway).  The airplane touched down on the left side between the runway and taxiway A, 2,200 feet from the threshold of the 6,299 foot runway.  Upon touchdown, the nose landing gear collapsed.  According to the Jackson Hole Airport Manager, the PAPI and REIL lighting systems for the runway were checked on the morning of and the morning following the accident.  No discrepancies were observed, and the airport did not receive any reports from pilots or airport personnel that either system was inoperative.Probable Cause: The pilot misreading the visual approach lighting system, resulting in his failure to maintain proper alignment with the runway and his selection of an improper touchdown point.  Factors were the low ceiling weather conditions and the snow covered runway.",,Unknown,Private,"GRAND ISLAND   , NE (KGRI)",(KJAC),,"JACKSON, Wyoming -United States of America",ARC,Abnormal Runway Contact,0.9,"The report describes an incident where the aircraft touched down abnormally on the left side between the runway and taxiway, resulting in the nose landing gear collapsing. This fits the description of abnormal runway or landing surface contact."
5 Jan 2000,Embraer EMB-110P1A Bandeirante,5N-AXL,Skypower Express Airways,1+1,Abuja International Airport (ABV),The Bandeirante aircraft was coming in to land at Abuja Nnamdi Azikiwe International Airport when it probably stalled before crashing into farmland some 400 feet short of runway 22. One person one the ground received fatal injuries.,,Approach,Passenger - Scheduled,Lagos-Murtala Muhammed International Airport (LOS/DNMM),Abuja International Airport (ABV/DNAA),,Abuja International Airport (ABV) -Nigeria,USOS,Undershoot/Overshoot,0.95,"The aircraft crashed into farmland 400 feet short of the runway during the approach phase, indicating an undershoot occurrence."
7 Jan 2000,Antonov An-26,D2-FBR,Unknown,,,,,Unknown,Cargo,Luanda-4 de Fevereiro Airport (LAD/FNLU),Cafunfo Airport (CFF/FNCF),,-Angola,UNK,Unknown or Undetermined,0.9,"The report lacks sufficient information regarding the phase of flight, location, and narrative details to accurately classify it into a specific ICAO occurrence category."
7 Jan 2000,Beechcraft 100 King Air,C-GXVX,North-Wright Airways,0,"Inuvik, NT","NWL100, a Beech King Air with 2 crew, was training at Inuvik. The aircraft landed on Runway 23 with the gear up and came to rest approximately 1000 feet from the threshold of Runway 05.It was reported that the aircraft sustained damage to the props and belly and the engines received shock damage. Weather was not a factor. The crew forgot to extend the gear.",,Landing,Training,"Inuvik, NT","Inuvik, NT",,"Inuvik, NT -Canada",ARC,Abnormal Runway Contact,0.95,"The aircraft landed with the gear up, resulting in damage to the props, belly, and engines. This fits the description of abnormal runway or landing surface contact, specifically a gear-up landing."
9 Jan 2000,Boeing 747-230F,HL7441,Korean Air,0,near Penang International Airport (PEN),,,Approach,Cargo,Seoul-Gimpo (Kimpo) International Airport (SEL/RKSS),Penang International Airport (PEN/WMKP),,near Penang International Airport (PEN) -Malaysia,UNK,Unknown or Undetermined,0.5,The report lacks sufficient information to determine a specific occurrence category.
10 Jan 2000,Saab 340B,HB-AKK,Crossair,10,"near Nassenwil, 1.5 km W of Zürich-Kloten Airport","At 17:00 Saab 340 HB-AKK arrived at Zurich, Switzerland following a flight from Guernsey. The aircraft was then prepared for Crossair flight 498 to Dresden. Germany.Taxi clearance was given at 17:50 and the crew taxied to runway 28. The crew expected to be cleared for a standard instrument departure SID ZUE 1Y. This procedure calls for the aircraft to climb straight ahead heading 280 and then make a left turn to cross overhead the airport at the KLO VOR and then assume a heading of 054Â° onto airway R234 to the Zurich East (ZUE) beacon.At 17:54 the aircraft was cleared for takeoff. Takeoff and climb were conducted with flaps at 0 degrees, which is normal for a Saab 340 departing from runway 28. The aircraft climbed normally at 136 knots IAS. After retracting the gear the Flight Director was switched on. While climbing through 2500 feet QNH the crew switched to Zurich Departure Control and were recleared to climb to FL110. At 17:55 the crew were cleared to make a left turn to intercept airway R234. A left turn was initiated, during which the first officer entered a command in the Flight Management System (FMS) to ZUE.The command ""direct to (DTO) Â left Â ZUE"" however was programmed only as ""direct to Â ZUE"". The programming was performed by the first officer alone, without the prescribed monitoring and checking by the captain. The latter was absorbed in manually flying the aircraft.After having turned left for 7 seconds the captain started a right turn, consistent with Flight Director commands generated by the FMS for a 'direct to ZUE' as the right hand turn was the shortest.In clouds the aircraft continued a right roll, which at 17:56:14 reached a right bank angle of 65.8Â°. The first officer advised the captain that the aircraft should actually turn to the left. This was also noted by the Zurich departure controller at 17:56:20, who asked the crew about the direction of the turn. The first officer replied: ""Moment please, stand by"". Upon which the Departure controller recleared the flight to continue the right turn direct to ZUE. By then the pitch had also decreased rapidly, accompanied by a marked speed increase and the Saab entered a high speed high-rate spiral descent. At 17:56:28 the aircraft crashed in an open field.Weather reported included temperature 2deg C; dew point 1deg C; 1032 mB wind WNW/3 knots and light drizzle.CAUSES: ""The accident is attributable to a collision with the ground, after the flight crew had lost control of the aircraft for the following reasons:- The flight crew reacted inappropriately to the change in departure clearance SID ZUE 1Y by ATC.- The co-pilot made an entry in the FMS, without being instructed to do so by the commander, which related to the change to the SID ZUE 1 standard instrument departure. In doing so, he omitted to select a turn direction.- The commander dispensed with use of the autopilot under instrument flight conditions and during the work-intensive climb phase of the flight.- The commander took the aircraft into a spiral dive to the right because, with a probability bordering on certainty, he had lost spatial orientation.- The first officer took only inadequate measures to prevent or recover from the spiral dive.The following factors may have contributed to the accident:- The commander remained unilaterally firm in perceptions which suggested a left turn direction to him.- When interpreting the attitude display instruments under stress, the commander resorted to a reaction pattern (heuristics) which he had learned earlier.- The commanderÂs capacity for analysis and critical assessment of the situation were possibly limited as a result of the effects of medication.- After the change to standard instrument departure SID ZUE 1Y the crew set inappropriate priorities for their tasks and their concentration remained one-sided.- The commander was not systematically acquainted by Crossair with the specific features of western systems and cockpit procedures.""",,En route,Passenger - Scheduled,ZÃ¼rich-Kloten Airport (ZRH/LSZH),Dresden Airport (DRS/EDDC),,"near Nassenwil, 1.5 km W of ZÃ¼rich-Kloten Airport -Switzerland",LOC-I,Loss of Control - In Flight,0.95,"The report describes a loss of control in flight due to inappropriate reactions to departure clearance changes, improper FMS programming, and spatial disorientation, leading to a spiral dive and subsequent crash."
11 Jan 2000,Boeing 757-2G7,N909AW,America West Airlines,0,"Las Vegas, NV","One flight attendant sustained serious injuries and another sustained minor injuries when the airplane encountered moderate to severe turbulence while in cruise flight at 35,000 feet.  Approximately 2 hours from landing, the flight crew called the flight attendants to inform them that turbulence was expected (based on ATC ride reports) and to secure the cabin and galleys.  The flight crew said the airplane had been slowed to 0.78 Mach when turbulence was encountered.  One flight attendant, now in seat 34C, did not fasten her seatbelt immediately.  She was lifted into the air during the encounter.  She hit the overhead compartment and fell on an armrest and then to the floor.Probable Cause: Encounter with Clear Air Turbulence.  Poor communication between the captain and flight attendants as to the urgency for the flight attendants to take their seats was a contributing factor.",,En route,Passenger - Scheduled,"Columbus, OH ( CMH)",(KLAS),,"Las Vegas, NV -United States of America",TURB,Turbulence Encounter,0.95,"The report describes an incident where the aircraft encountered moderate to severe turbulence during cruise flight, resulting in injuries to flight attendants. This fits the definition of a turbulence encounter."
13 Jan 2000,Shorts 360-300,HB-AAM,"Sirte Oil Company, lsf Avisto",22,5 km off Marsa el-Brega,"The Shorts 360 plane had been leased to Sirte Oil Co in Libya to transport workers between its headquarters and various oil fields.The aircraft departed Tripoli at 12:29. En route to Marsa el-Brega the crew noted a fuel imbalance and did a cross feed until fuel was balanced again at 14:17. The descent from FL70 was started at 14:25. Eleven minutes later both engines flamed out. The aircraft was ditched off the Libyan coast in a 10deg nose up attitude. The tail broke off and the wreckage sank inverted to a depth of 38 m, about 3 miles from the coast.According to the Libyan investigation report, the first officer and co-pilot, who both survived, were so busy talking about how to fly the Fokker F-28 aircraft that they failed to switch on the anti-icing system for the engines as weather conditions deteriorated. As the aircraft came in to land, ice that had been allowed to build up melted, flooding the engines and cutting off the power. A device that might have restarted the engines was not switched on. There were no lifejackets on board and many of the dead drowned because they were unaware that their seat cushions doubled as floats.PROBABLE CAUSES:-  ""melting of ice formed at engines intake resulted in ware ingestion and both engine flame out.-  flight crew failed to operate engine anti-icing system.-  flight crew were busy with a discussion not relevant to their flight or the a/c.""",,Approach,Passenger - Non-Scheduled/charter/Air Taxi,Tripoli International Airport (TIP/HLLT),Marsa el-Brega Airport (LMQ/HLMB),,5 km off Marsa el-Brega -Libya,ICE,Icing,0.95,"The primary cause of the incident was the failure to activate the engine anti-icing system, leading to ice buildup and subsequent engine flameout."
