Date,Type,Registration,Operator,Fat.,Location,narrative,sources,phase,nature,departure_airport,destination_airport,country,location_detailed,category_code,category_name,confidence_score,classification_reason
1 Jan 2004,Beechcraft A100 King Air,C-GFKS,Thunder Airlines,0,"Terrace Bay Airport, ON (YTJ)","C-GFKS, a Beech A100 aircraft operated by Thunder Airlines, was departing runway 25 at Terrace Bay Airport, ON (YTJ) on a medevac flight to Thunder Bay Airport, ON (YQT). During the takeoff roll, the left wing struck a four foot high windrow (snowbank). The pilot lost directional control of the aircraft and it exited the south side of runway 25 at the midpoint. The aircraft came to rest approximately 30 feet off the side of the runway. There were no injuries, but the nose gear was sheared off and the aircraft was substantially damaged. A NOTAM had been issued for the runway stating that there were windrows four feet high, 10 feet inside the runway lights on both sides of the runway. The NOTAM also stated that the cleared portion of the runway was covered with Â¼ inch of loose snow over 60 percent compacted snow and 40 percent ice patches and that braking action was fair to poor. The takeoff was being conducted at dusk in conditions of poor lighting and contrast. Crosswind was not a factor.",,Take off,Ambulance,"Terrace Bay Airport, ON (YTJ)","Thunder Bay Airport, ON (YQT/CYQT)",,"Terrace Bay Airport, ON (YTJ) -Canada",CTOL,Collision with Obstacle(s) During Takeoff and Landing,0.95,"The report describes a collision with a snowbank (man-made obstacle) during the takeoff roll, leading to loss of directional control and runway excursion."
1 Jan 2004,McDonnell Douglas DC-9-81 (MD-81),JA8297,Japan Air System,0,Tokunoshima Airport (TKN),"A McDonnell Douglas MD-81 passenger plane, registered JA8297, sustained substantial damage in a landing gear collapsed accident at Tokunoshima Airport (TKN), Japan. There were 163 passengers and six crew members on board. Three passengers were slightly injured.JAS Flight 979 took off from Kagoshima Airport at 15:35 and flew to Tokunoshima Airport. On landing at Tokunoshima Airport runway 01, the aircraft's left main landing gear (MLG) collapsed during rollout and its left wing tip contacted the ground. The aircraft came to a stop on the runway.PROBABLE CAUSE:In this accident, it is estimated that due to the left main landing gear cylinder collapsed immediately after the aircraft landed at Tokunoshima Airport, the fuselage inclined to the left and the aircraft traveled with its left wing in contact with the runway surface, resulting substantial damage.With respect to the collapse of the MLG cylinder, it is considered that Gear Walks which experienced before the restrictor was installed generated large stresses on the fuse section of the cylinder surface and caused micro cracks. The micro cracks are considered to grow during normal operation and eventually lead to the fracture.Further, it is considered that the presence of surface flaw on the cylinder caused by grit-blast contributed to the crack generation.And the contributing factor to the fact that the company could not detect the cracks on the cylinder by the scheduled maintenance, etc. is considered to be that the manufacturer had not established appropriate inspection intervals or inspection times to detect fatigue cracking.",,Landing,Passenger - Scheduled,Kagoshima Airport (KOJ/RJFK),Tokunoshima Airport (TKN/RJKN),,Tokunoshima Airport (TKN) -Japan,SCF-NP,System/Component Failure or Malfunction (Non-Powerplant),0.95,"The report describes a failure of the left main landing gear cylinder, which is a non-powerplant component, leading to the collapse of the landing gear and subsequent damage during landing."
3 Jan 2004,Boeing 737-3Q8,SU-ZCF,Flash Airlines,148,15 km S off Sharm el Sheikh,"Flash Airlines flight 604, a Boeing 737-300, crashed into the sea off Sharm el Sheikh following a loss of control, killing all 148 occupantsWeather was perfect (excellent visibility, 17 degrees C and a light breeze) when Flash Air flight 604 departed the Red Sea resort of Sharm el Sheikh for a flight to Paris-CDG with an intermediate stop at Cairo. On board were 135, mostly French, holidaymakers who were heading home.At 04:38 the flight was cleared to taxi to runway 22R for departure. After takeoff, at 04:42, the plane climbed and maneuvered for a procedural left turn to intercept the 306 radial from the Sharm el-Sheikh VOR station. When the autopilot was engaged the captain made an exclamation and the autopilot was immediately switched off again. The captain then requested Heading Select to be engaged. The plane then began to bank to the right. The copilot then warned the captain a few times about the fact that the bank angle was increasing. At a bank angle of 40 degrees to the right the captain stated ""OK come out"". The ailerons returned briefly to neutral before additional aileron movements commanded an increase in the right bank.The aircraft had reached a maximum altitude of 5460 feet with a 50 degrees bank when the copilot stated: ""Overbank"". Repeating himself as the bank angle kept increasing. The maximum bank angle recorded was 111 degrees right. Pitch attitude at that time was 43 degrees nose down and altitude was 3470 feet.The observer on the flight deck, a trainee copilot, called ""Retard power, retard power, retard power"". Both throttles were moved to idle and the airplane gently seemed to recover from the nose-down, right bank attitude. Speed however increased, causing an overspeed warning. At 04:45 the airplane struck the surface of the water in a 24 degrees right bank, 24 degrees nose-down, at a speed of 416 kts and with a 3,9 G load.The wreckage sank to a depth of approx. 900 metres.CONCLUSION: ""No conclusive evidence could be found from the findings gathered through this investigation to determine the probable cause. However, based on the work done, it could be concluded that any combination of these findings could have caused or contributed to the accident.Although the crew at the last stage of this accident attempted to correctly recover, the gravity upset condition with regards to attitude, altitude and speed made this attempt insufficient to achieve a successful recovery.""",,En route,Passenger - Non-Scheduled/charter/Air Taxi,Sharm el Sheikh International Airport (SSH/HESH),Cairo International Airport (CAI/HECA),,15 km S off Sharm el Sheikh -Egypt,LOC-I,Loss of Control - In Flight,0.95,"The report describes a loss of control of the aircraft while in flight, including excessive bank angles and nose-down attitudes, leading to a crash. The narrative details the crew's inability to recover from the upset condition, which is characteristic of a Loss of Control - In Flight occurrence."
5 Jan 2004,de Havilland Canada DHC-6 Twin Otter 300,P2-KSG,Regional Air,0,Sturt Island,"Twin Otter P2-KSG prepared to depart to from the Sturt Island airstrip. Runway 14/32 is a 780 m long grassed red clay airstrip, which can only be used for takeoff in one direction. Control was lost when the pilot tried to avoid some puddles while attempting to takeoff from runway 14.",,Take off,Unknown,Sturt Island Airstrip,,,Sturt Island -Papua New Guinea,LOC-G,Loss of Control - Ground,0.95,"The report describes a loss of control during the takeoff phase while the aircraft was still on the ground, which aligns with the definition of 'Loss of Control - Ground'."
5 Jan 2004,Fokker 70,OE-LFO,Austrian Airlines,0,"4,5 km from München-Franz Josef Strauss Airport (MUC)","Flight OS111 departed Vienna at 07:27 for a flight to Munich. A few minutes before 8 o'clock in the morning the crew were cleared to descend from FL280 to FL100. The ice detection system was triggered during descent to FL100. Engine and airframe anti-icing systems were switched on simultaneously. FL100 was reached at 07:59:58 hrs. The pilots stated that they encountered icing conditions when the airplane entered the clouds. At FL100 ice is reported to have formed at the windscreen edges. Vibrations on the no. 2 engine increased temporarily after a flight time of six minutes at FL100. As the airplane was approximately 12.5 NM south of Munich airport, the crew was instructed to descend to FL90 and to change heading to 020 degrees. Heavy vibrations on the no. 2 engine occurred during descent. According to crew statements, the airbrakes were extended in order to increase thrust setting on the engines without increase in airspeed. Immediately afterwards the warning VIB HIGH ENG2 was triggered at FL90. The actions of the Abnormal Procedure Vibration High checklist were carried out. However, the no. 2 engine was not shut down for lack of other failure indications. Afterwards no more problems for the no. 2 engine were indicated. Simultaneously with the strong vibrations, vibrations and noises from the rear cabin area were heard in the cockpit. At 08:08:14 hrs the EPR of the no. 1 engine dropped from 1.5 to 1.1 and stayed at about 1.0 after that. In the cockpit heavy vibrations had been noticed also and a rattling noise had been heard. But the vibrations were not displayed on the multifunctional display as originating from the engines. At 08:08:22 hrs, the captain declared an emergency because of severe engine problems and requested an immediate landing. The airplane was immediately cleared to descend to 5,000 ft based on a QNH of 1,017 hPa and to change to a heading of 080 degrees. The crew requested an approach as short as possible. While leaving FL90, the EPR of the no. 1 engine dropped also from 1.4 to 1.0 within the next four minutes; this EPR reduction was incremental and occurred independent of the thrust setting. At 7,000 ft the air brakes were extended for a short time and engine thrust increased. During the descent to 5,000 ft the airplane was transferred to Munich Director. After 08:12:45 hrs when the airplane had reached approximately 5,000 ft the EPR of the no. 2 engine retained values of about 1.0 also. Munich Director immediately issued a clearance to further descend to 3,500 ft. The air brakes where extended again for a period of 44 seconds. Thereby the airspeed was reduced to approximately 170 kt. With the landing gears extended and the flaps set to 15 degrees, the airspeed was about 150 kt. The airplane was guided to the landing course of the ILS 26L approximately 8 NM in front of the threshold. At approximately 4,000 ft flaps were extended to 25 degrees. After the airplane had descended in landing configuration to the cleared altitude of 3,500 ft and horizontal flight had been established, the crew noticed that by pushing the thrust levers forward, the EPR on both engines did not increase to the required value. The speeds N1 and N2 and the exhaust gas temperatures (EGT) of both engines increased, the EPRs, however, remained at values of around 1.0. After the message of the crew that they were just approaching the ILS the flight was transferred to Munich Tower. Airspeed decreased to approximately 115 kt. The autopilot was immediately switched off, the airplane again established in descent, the flaps reset to 15 degrees and the landing gears retracted. Airspeed increased to approximately 135 kt. The flaps were again set to 25 degrees. The airplane received clearance to land. At 08:16:10 hrs the controller informed the crew that the Fokker was approximately 500 ft below the glide path. At this time the height measured by the radio altimeter was 500 ft AGL. At the same time the GPWS sounded: ""Too low"" and ""Gear"". The crew informed the controller that the runway could not be reached and that the landing would take place approximately 4 NM short of the runway: ""...We will not make it...to the runway...we are touching down probable 4 Miles before the field...""). From approximately 400 ft AGL downwards the airplane was clear of clouds. The landing gear was selected down 13 seconds prior to ground contact. The captain informed the cabin crew of the imminent emergency landing through the repeated exclamation ""Brace for impact"" 5 seconds prior to touch down. At 08:16:35 hrs, the airplane touched down on a snow covered field approximately 2.5 NM short of the runway with landing gears partly extended and came to rest severely damaged lying on the fuselage after a sliding distance of 220 m. All occupants left the airplane without assistance via the forward passenger door exit.The accident was due to the following immediate causes:- After a prolonged time under moderate icing conditions and low engine thrust, ice developed on the rotors of the low pressure compressors of both engines.- The bonded joints of the ice impact panels on both engines failed due to strains caused by ice-induced vibrations of the engines and by ice which had shedded from the rotors of the low pressure compressor.- The loose ice impact panels became trapped in front of the outlet guide vanes of the low pressure compressor and affected the airflow in the by-pass duct in such a way that the engines now only produced low thrust.- The runway was no longer within reach of the aircraft as the loss of thrust on both engines had not triggered any warnings and was not indicated until the necessary demand of thrust at an altitude of 3,500 ft.- Due to its nature the terrain within reach was not suited for the landing of a transport airplane.",,Approach,Passenger - Scheduled,Wien-Schwechat International Airport (VIE/LOWW),MÃ¼nchen-Franz Josef Strauss Airport (MUC/EDDM),,"4,5 km from MÃ¼nchen-Franz Josef Strauss Airport (MUC) -Germany",ICE,Icing,0.95,"The report details the accumulation of ice on the aircraft's engines and airframe, leading to significant engine vibrations and eventual loss of thrust. These conditions directly contributed to the emergency landing short of the runway."
8 Jan 2004,Lockheed C-5B Galaxy,85-0010,United States Air Force - USAF,0,near Baghdad International Airport (SDA),The no. 4 engine was reportedly hit by a surface-to-air missile. The crew reported excessive engine vibrations and declared an emergency. The plane returned to the airport and landed safely.,,En route,Military,Baghdad International Airport (BGW/ORBI),,,near Baghdad International Airport (SDA) -Iraq,SEC,Security Related,0.95,"The report indicates that the aircraft was hit by a surface-to-air missile, which is an act of unlawful interference and falls under security threats."
12 Jan 2004,Cessna 550 Citation II,PH-DYN,Dynamic Air,0,Rotterdam Airport (RTM/EHRD),"As the aircraft was taxiing to runway 24, its right wing tip collided with the corner of a hangar. This caused the aircraft to pivot so that it's nose went through the hangar door before it came to a stop.The crew reported that as they were making a left turn, nose-wheel steering became insufficient as the turn tightened. To compensate, a small amount of brake pressure was was applied on the left wheel. The captain felt that this amount of braking was inadequate, so maximum brake pressure was applied on the left wheel. This had no effect, resulting in the collision with the hangar. The emergency braking system was not used. Of the two crew and six passengers, three of the passengers reported neck problems.Upon investigation, no defects were found in the braking system, and it is unknown whether the antilock braking system activated during the event. According to the aircraft manufacturer, it is possible that the degraded turn performance was a result of the left wheel locking up. The surface was wet from rainfall, and the tight left turn would reduce weight on the left wheel. Both of these factors decrease traction, increasing the likelihood of the left wheel locking up.Although it was not determined if the brakes were tested before commencing the taxi, the Dutch Safety Board reccomended that testing of the brakes always be carried out before taxiing. This gives an earlier opportunity for the crew to activate the emergency braking system.",,Taxi,Passenger - Non-Scheduled/charter/Air Taxi,Rotterdam Airport (RTM/EHRD),Strasbourg-Entzheim Airport (SXB/LFST),,Rotterdam Airport (RTM/EHRD)  -Netherlands,GCOL,Ground Collision,0.95,"The incident involved a collision with a hangar while the aircraft was taxiing, which fits the definition of a ground collision."
13 Jan 2004,Yakovlev Yak-40,UK-87985,Uzbekistan Airways,37,Tashkent Airport (TAS),"Uzbekistan Airways' flight HY1154, the evening flight from Termez to Tashkent, departed Termez with a crew of five and an almost full load (32) of passengers. Weather was poor as the flight approached the airport. After reporting capturing the glideslope the air traffic controller reported a vertical visibility of 60 m and a runway visual range of 1300 m. About 12,5 km out, the aircraft's rate of descent increased, causing it to descend below the glideslope. The rate of descent was arrested at a height of 170 m, 8 km from the threshold of runway 08L and they continued in level flight. At the Outer Marker (3,5 km from the runway) they should have started their initial approach, but the crew continued level flight thus flying above the glideslope now. With 2,5 km to go the airplane descended slightly at 1-1,5 m/sec. At the Inner Marker the descent rate increased to 2-2,6 m/sec. The crew then probably saw the runway lights below them. The engines were brought back to idle and reverse thrust was applied at a height of 60 m. When it appeared that they would not be able to land given the remaining runway length, reverse thrust was deselected and engine power was increased. At that point the airplane touched down 260 m past the end of the runway. It continued until the right wing struck a concrete building. The plane then lost the left wing before it crashed through a concrete wall. The airplane broke up, crashed into a ditch and caught fire.",,Landing,Passenger - Scheduled,Termez Airport (TMJ/UTST),Tashkent Airport (TAS/UTTT),,Tashkent Airport (TAS) -Uzbekistan,RE,Runway Excursion,0.95,"The aircraft departed the end of the runway surface during landing, which is consistent with the definition of a runway excursion."
15 Jan 2004,Boeing 747SP-86,EP-IAC,Iran Air,0,Beijing-Capital Airport (PEK),"Suffered problems with the hydraulic system shortly after departing Beijing (PEK). The plane returned to land, during which the nose gear collapsed.The airplane remained at Beijing for a few months, being prepared for a ferry flight back to Tehran. On June 1, 2004 the airplane was finally ferried back to Tehran where it was withdrawn from service. Some parts were stripped and the airplane was then moved for display at the Teheran AeroSpace Exhibition. In 2009 the airplane received overhaul to be restored in flying condition.",,Landing,Passenger - Scheduled,Beijing-Capital International Airport (PEK/ZBAA),Tokyo-Narita Airport (NRT/RJAA),,Beijing-Capital Airport (PEK) -China,ARC,Abnormal Runway Contact,0.9,"The report describes an incident where the nose gear collapsed during landing, which is a type of abnormal runway contact."
17 Jan 2004,Cessna 208B Grand Caravan,C-FAGA,Georgian Express,10,"3 km NW off Pelee Island, ON","At 15:23 Cessna Caravan C-FAGA was fueled at Windsor Airport, ON (YQG) in preparation for flight GGN125 to Pelee Island, ON. At 15:55, the aircraft was de-iced and departed ten minutes later. The aircraft landed at 16:20. While on the ramp, two individuals voiced concern to the pilot that there was ice on the wing. Freezing precipitation was falling. The pilot was observed to visually check the leading edge of the wing; however, he did not voice any concern and proceeded with loading the passengers and cargo. At approximately 16:38, flight GGN126 departed Pelee Island for Windsor. After using most of the runway length for takeoff, the aircraft climbed out at a very shallow angle. The pilot raised the flaps while over Lake Erie. The Caravan then entered an aerodynamic stall. Because the plane was rolling into a climbing right turn, the left wing stalled first. The nose dropped and the airplane rolled to the left. The airplane was too low for recovery and struck the ice.It was determined that the aircraft was overweight by 1270 pounds (576 kg) when it departed Pelee Island. The maximum takeoff weight for this flight was 8550 pounds (3878 kg).FINDINGS AS TO CAUSES AND CONTRIBUTING FACTORS:1. At take-off, the weight of the aircraft exceeded the maximum allowable gross take-off weight by at least 15 per cent, and the aircraft was contaminated with ice. Therefore, the aircraft was being flown significantly outside the limitations under which it was certified for safe flight.2. The aircraft stalled, most likely when the flaps were retracted, at an altitude or under flight conditions that precluded recovery before it struck the ice surface of the lake.3. On this flight, the pilot's lack of appreciation for the known hazards associated with the overweight condition of the aircraft, ice contamination, and the weather conditions was inconsistent with his previous practices. His decision to take off was likely adversely affected by some combination of stress and fatigue.",,En route,Passenger - Scheduled,"Pelee Island, ON (CYPT)","Windsor Airport, ON (YQG/CYQG)",,"3 km NW off Pelee Island, ON -Canada",ICE,Icing,0.9,"The report indicates that the aircraft was contaminated with ice, which contributed to the aerodynamic stall and subsequent crash. The presence of ice on the aircraft's surfaces is a key factor in this occurrence."
