Date,Type,Registration,Operator,Fat.,Location,narrative,sources,phase,nature,departure_airport,destination_airport,country,location_detailed,category_code,category_name,confidence_score,classification_reason
2 Jan 2008,Fokker 100,EP-IDB,Iran Air,0,Tehran-Mehrabad Airport (THR),"An Iran Air Fokker 100 was damaged beyond repair when it crashed on takeoff from Tehran-Mehrabad Airport (THR), Iran. Four crew members and seven passengers sustained serious injuries.Iran Air Flight IR235 was a scheduled service from Tehran to Shiraz. The co-pilot, who was Pilot Flying, performed a walk around prior to departure. Since it had been snowing and temperatures were around freezing level, he requested de-icing.Because there were a number of aircraft already waiting for de-icing, the pilot in command decided not to perform de-icing. The engines were started and the airplane started taxying towards the departure runway at 07:09 hours. At 07:31 the flight was cleared for takeoff.The aircraft rolled left wing down shortly after lift off. The left wingtip touched the ground. Thereafter the aircraft rolled momentarily back to a more neutral position. A few seconds later, while losing altitude, the second left wing down roll started. The left wing touched the ground and when the aircraft rolled back to a more neutral attitude both main landing gears touched the ground. All gears broke off and the aircraft slid on the area next to the runway.Reportedly, during the impact or shortly thereafter all electrical power was lost.When the aircraft came to rest, a fire developed, starting from the left wing root towards the fuselage. All passengers and crew were evacuated through the two right over wing emergency exits.Cause:It is believed that the accident was caused by the crew fault that has not decided to de-ice aircraft, which led to wing contamination and finally aircraft has stalled during take off.Contributing causes:a)  Weak cockpit resource managementb)  Weak management for cold Weather operation of Iran Air.",,Take off,Passenger - Scheduled,Tehran-Mehrabad Airport (THR/OIII),Shiraz Airport (SYZ/OISS),,Tehran-Mehrabad Airport (THR) -Iran,ICE,Icing,0.95,"The report indicates that the accident was caused by the crew's decision not to de-ice the aircraft, leading to wing contamination and a subsequent stall during takeoff. This directly relates to the accumulation of ice on the aircraft surfaces."
2 Jan 2008,NAMC YS-11A-500,RP-C3592,Asian Spirit,0,Masbate Airport (MBT),"At 07:20, when Asian Spirit flight 321 was 10 miles out, the Masbate controller reported winds 050 at 11 kts, gusting to 14 kts. At 07:35 the pilot flew a right base and turned onto finals for runway 21. The crew was advised that wind was now 040 degrees at 10 knots, gusting to 14 knots and caution advised for landing.The YS-11 overshot the runway and impacted a concrete airport perimeter fence. The right main landing gear collapsed and the airplane sustained damage to the right hand engine.",,Landing,Passenger - Scheduled,Manila-Ninoy Aquino International Airport (MNL/RPLL),Masbate Airport (MBT/RPVJ),,Masbate Airport (MBT) -Philippines,USOS,Undershoot/Overshoot,0.95,"The aircraft overshot the runway during landing and impacted a concrete airport perimeter fence, which is consistent with the definition of the Undershoot/Overshoot category."
3 Jan 2008,Britten-Norman BN-2A-6R Islander,SAN-208,Servicio Aéreo Nacional - SAN,0,off Bahia Piña,,,En route,Ambulance,,,,off Bahia PiÃ±a -Panama,UNK,Unknown or Undetermined,0.8,The report lacks sufficient information to classify it into a specific ICAO occurrence category.
4 Jan 2008,Let L-410UVP-E3,YV2081,Transaven,14,11 km S off Los Roques Airport (LRV),"A Transaven Let L-410 crashed into the sea off Los Roques Airport Venezuela, killing all 14 occupantsA Let L-410UVP-E3, operated by Transaven, crashed into the sea off Los Roques Airport, Venezuela, killing all on board.The flight had departed Caracas-SimÃ³n BolÃ­var International Airport at 09:13 on a flight to Los Roques.At 09:38, while descending for Los Roques, the pilot radioed that both engines had failed. At that moment he was at 3000 feet, at 16 nm from the destination airport.It is presumed that the pilot attempted to ditch in waters of the Los Roques archipelago since the aircraft was not able to reach the island.The wreckage was not located until a new search operation was started in 2013 using the Sea Scout, a 134-foot survey vessel. The Venezuelan Attorney General reported on June 20, 2013 that the airplane had been successfully located six nautical miles off the coast of Los Roques, at a depth of about 3,200 feet (974 meters).The final report did not contain a Probable Cause statement.",,En route,Passenger - Non-Scheduled/charter/Air Taxi,Caracas-SimÃ³n BolÃ­var International Airport (CCS/SVMI),Los Roques Airport (LRV/SVRS),,11 km S off Los Roques Airport (LRV) -Venezuela,SCF-PP,System/Component Failure or Malfunction (Powerplant),0.95,"The report indicates that both engines failed while the aircraft was en route, leading to the crash. This points to a powerplant system or component failure."
9 Jan 2008,Airbus A340-312,4R-ADF,SriLankan Airlines,0,Frankfurt International Airport (FRA/EDDF),A SriLankan Airlines A340 as flight UL554 from Frankfurt to Colombo had to cancel the flight after the pushback truck started too early before the passenger bridge was removed. The bridge ruptured the fuselage on a length of reportedly 14 meters.,,Pushback / towing,Passenger - Scheduled,Frankfurt International Airport (FRA/EDDF),Colombo-Bandaranaike International Airport (CMB/VCBI),,Frankfurt International Airport (FRA/EDDF) -Germany,RAMP,Ground Handling,0.95,"The incident occurred during pushback operations and involved a ground handling error where the pushback truck started too early before the passenger bridge was removed, causing damage to the aircraft."
9 Jan 2008,Airbus A319-114,N349NB,Northwest Airlines,0,"Detroit-Metropolitan Wayne County Airport, MI (DTW)","An Airbus A319-114, N349NB, operated by Northwest Airlines as flight NW853, experienced an engine fan cowling separation while on approach to land on runway 27R at the Detroit Metro Airport (DTW), Michigan. The pilot, co-pilot, 3 flight attendants, and 68 passengers on board were not injured. The airplane received substantial damage. The flight originated from New York-LaGuardia Airport (LGA), at 06:18.The accident flight was the first one for the airplane after having maintenance performed on the number two (right) engine during the previous evening. The first officer reported he used a flashlight when conducting his preflight inspection of the airplane as it was still dark outside. He reported the engine cowlings were flush, and he did not see any ""hanging"" cowl latches when he looked underneath the engines.The captain reported that the logbooks indicated the number two engine vibration monitor had been replaced during the previous night. He reported the preflight, taxi, and takeoff were normal. The captain reported that during climb out the cockpit received a call from the lead flight attendant who informed them that a passenger reported that the number two engine cowling was flapping after takeoff. A pilot-passenger who was sitting behind this passenger reportedly did not see the cowling move, nor did the flight attendants when they looked out the window. The captain reported he then began to monitor the N1 vibration indications on the number two engine. He reported that the number two engine vibration was approximately double the indication from the number one engine, but the indicator was not flashing nor had it turned amber. During cruise flight the number two engine vibration decreased to equal that of the number one engine. The captain reported that about 20 minutes after they leveled off, the airplane shuddered as if flying through wake turbulence. He reported the remainder of the flight was normal until they were taxiing after landing and the lead flight attendant called the cockpit stating that ""part of the right engine had come off."" The first officer called ground control to warn them that there might be debris on the runway. The crew then shut down the number two engine and taxied to the gate.The pilot of another airplane later reported seeing part of the engine cowling come off when flight 853 was on a 1-mile final. The other half of the engine cowling was found on the runway and was contacted by an airplane that landed after the accident airplane.Contract maintenance personnel reported they changed the N1 sensor on the number two engine during the evening prior to the accident. They reported they then shut the fan cowling, but did not latch it as they still needed to perform an engine run and check for leaks. After the engine run was performed, one of the mechanics thought that the other had latched the fan cowling when in fact he had not. While they were doing another task in the cockpit, another mechanic asked for help at another gate. The mechanics left the accident airplane to assist the other mechanic. Neither mechanic returned to the accident airplane to either latch or verify that the fan cowling had been latched.The maintenance log stated the N1 speed sensor was removed and replaced in accordance with aircraft maintenance manual (AMM) 77-11-10. This section of the AMM states, ""Close the fan cowl doors (Ref. AMM TASK 71-13-00-410-040)."" According to the maintenance personnel, this task was not completed prior to the airplane being returned to service.The separated cowling contacted the right side of the horizontal stabilizer which resulted in substantial damage to the stabilizer. In addition, the fan cowl doors, number two engine pylon, the number two engine reverser, and the right wing number one slat were damaged.The separation of the engine cowling which resulted from maintenance personnel failing to follow maintenance procedures in that they did not latch the engine cowling following the maintenance inspection.  A factor associated with the accident was their attention was divereted from the task when another mechanic asked for assistance.",,Approach,Passenger - Scheduled,"New York-La Guardia Airport, NY (LGA/KLGA)","Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW)",,"Detroit-Metropolitan Wayne County Airport, MI (DTW) -United States of America",SCF-NP,System/Component Failure or Malfunction (Non-Powerplant),0.95,"The report describes a failure related to the engine fan cowling, which is a component of the aircraft, and the failure was due to maintenance personnel not following proper procedures. This fits the description of a system/component failure or malfunction that is not related to the powerplant."
9 Jan 2008,British Aerospace BAe-146-200A,LZ-HBA,"Hemus Air, opf Blue Air",0,Bacau Airport (BCM/LRBC),"During flare to land, the aircraft started veering to the left. The pilot in command made correction to stay over the runway.  The aircraft landed left of the centreline in snow (uncleaned part).Shortly after touchdown, the nose landing gear collapsed.",,Landing,Passenger - Scheduled,Bucharest Baneasa Aurel Vlaicu International Airport (BBU/LRBS),Bacau Airport (BCM/LRBC),,Bacau Airport (BCM/LRBC) -Romania,ARC,Abnormal Runway Contact,0.9,"The report describes an abnormal landing event where the aircraft veered off the centerline and landed in an uncleaned part of the runway, resulting in the collapse of the nose landing gear."
10 Jan 2008,Airbus A319-114,C-GBHZ,Air Canada,0,"38 NM south of Penticton, BC","Air Canada flight AC190, an Airbus A319-114, was en route to Toronto at FL350 and following a United Airlines Boeing 747-400, flight UAL896, in level cruise at FL 370 over the state of Washington, United States (U.S.). When separation had increased to 8.1 nautical miles (nm), with UAL896 in the lead, U.S. air traffic control cleared ACA190 to climb from FL 350 to its flight planned altitude of FL 370. At 0648 Pacific standard time, as ACA190 was climbing through FL 366, 10.7 nm behind UAL896, sharp jolts were felt in ACA190, followed by a series of rolls. During the roll oscillations, the aircraft continued the climb to FL 369 and then descended to FL 355, where the crew regained straight and level flight. The crew declared an emergency and diverted the flight to Calgary International Airport, Alberta where it landed uneventfully at 0728. Eight passengers and crew received minor injuries and three received serious injuries due to falls and collisions with aircraft furnishings.",,En route,Passenger - Scheduled,"Victoria International Airport, BC (YYJ/CYYJ)","Toronto-Pearson International Airport, ON (YYZ/CYYZ)",,"38 NM south of Penticton, BC -Canada",TURB,Turbulence Encounter,0.95,"The report describes sharp jolts and roll oscillations experienced by the aircraft during climb, leading to injuries among passengers and crew, which are indicative of a turbulence encounter."
11 Jan 2008,Antonov An-2SX,HA-MKK,Letalska sola Solt,1,5 km N of Trbovlje,"Flew into the wooded side of Mount Javor (1,133m) in foggy weather conditions.Cause of the accident:Bad weather conditions on the route and in the vicinity of Mount Javor (1,133 m) N 46Â°10.816' E 015Â° 00.908' near Sveta Planina (Trbovlje) with a low cloud base and poor visibility were the reason that the pilot lost his visual contact with the ground. Due to thecurrent conditions set for the flight, the flight was to be performed under Visual Flight Rules.The pilot tried to keep visual contact with the ground by reducing the altitude, which he succeeded in doing at the beginning of the flight. In approaching Mount Javor (1,133 m) N 46Â°10.816' E 015Â° 00.908' near Sveta Planina (Trbovlje), the aircraft was at an altitude 1,075 m, which was too low above the terrain.The cause of the accident was controlled flight into terrain (CFIT)",,En route,Ferry/positioning,Âentvid pri Sticni Airfield,Maribor Airport (MBX/LJMB),,5 km N of Trbovlje -Slovenia,CFIT,Controlled Flight Into Terrain,1.0,"The report describes an in-flight collision with terrain without indication of loss of control, which is consistent with the definition of Controlled Flight Into Terrain (CFIT)."
13 Jan 2008,Bombardier CRJ-701ER,N705SK,Skywest Airlines,0,"San Francisco International Airport, CA (SFO/KSFO)","Skywest flight 6398, a Bombardier CRJ-701ER (N705SK) sustained substantial damage after being struck by a Boeing 757-222, N508UA,operated by United Airlines that was being towed by company maintenance personnel.Probable Cause: The company tug operator of the other airplane's failure to maintain clearance with this aircraft during the pushback process.  Also causal was the ground controller's failure to alert the pilot of this aircraft and tug operator of the other airplane of the simultaneous pushback occurring from adjacent gates.  Contributing to the accident was the company's pushback operation without the use of wing/tail walkers.",,Pushback / towing,Passenger - Scheduled,"San Francisco International Airport, CA (SFO/KSFO)",,,"San Francisco International Airport, CA (SFO/KSFO) -United States of America",RAMP,Ground Handling,0.95,The incident occurred during the pushback/towing phase and involved a collision between two aircraft due to ground handling operations.
