Date,Type,Registration,Operator,Fat.,Location,narrative,sources,phase,nature,departure_airport,destination_airport,country,location_detailed,category_code,category_name,confidence_score,classification_reason
2 Jan 2009,Antonov An-12BP,S9-SAM,British Gulf International Airlines,0,Sharjah Airport (SHJ),,,Take off,Cargo,Sharjah Airport (SHJ/OMSJ),,,Sharjah Airport (SHJ) -United Arab Emirates,UNK,Unknown or Undetermined,0.5,The report lacks sufficient information to classify it into a specific ICAO occurrence category.
3 Jan 2009,Learjet 45XR,N279AJ,Aero Jet Services,0,"Telluride Regional Airport, CO (TEX)","A Learjet 45, N279AJ, sustained substantial damage when attempting to land during a snowstorm at Telluride Regional Airport, CO (TEX). The positioning flight was conducted using instrument flight rules and had departed Scottsdale Airport, AZ (SDL) at 15:03 MST. The pilot occupying the left seat was not injured and the pilot occupying the right seat received minor injuries.In a statement to the NTSB provided by the Pilot-In-Command, upon arrival to TEX the weather was reported to be below minimums; the crew elected to hold over the Cones VOR and wait to see if weather conditions would improve. The crew was given instructions, by air traffic control, to hold as published and to expect further clearance (EFC) at 16:30. When the weather improved to a visibility of 4 miles and a ceiling of 2300 feet, the PIC requested a descent and approach to KTEX. At approximately 4 miles from the airport, the pilot acquired the airport environment but was not in position to land, so he called for a missed approach back to Cones VOR. The pilot then requested a second attempt to land stating that ""if we did not land, we would like to be sequenced to into KMTJ"" Montrose Regional Airport Montrose, CO, their alternate airport. On the second approach, both crew members stated that they had acquired the runway environment; however, they were still too high for a visual approach. The crew elected to do a 360-degree, right, descending turn, in order to get in a better position for landing. On completion of the turn, they again affirmed the runway environment and that they were aligned with the extended centerline of the runway. The airplane touched down and after full thrust reversers were deployed, the nose gear collapsed. The airplane began to slide in snow and came to a stop about mid-field, in an upright position.An initial FAA examination of the area indicated that the airplane had touched down about 20-feet to the right, of the runway. Additionally, the airplane's wings were torn from the fuselage and the tail section had separated just aft of the engines, during the contact with the ground.Weather reported at KTEX 10 minutes prior to the accident was winds 260 degrees at 8 knots, visibility of 3 miles, scattered clouds at 400 feet, broken clouds at 2300 feet, temperature of 6 degrees Celsius, dew point of 6 degrees Celsius, and altimeter setting 29.85 inches of mercury.PROBABLE CAUSE: ""The failure of both pilots to positively identify the runway prior to landing.""",,Landing,Ferry/positioning,,"Telluride Regional Airport, CO (TEX/KTEX)",,"Telluride Regional Airport, CO (TEX) -United States of America",ARC,Abnormal Runway Contact,0.95,"The report describes an incident where the aircraft touched down abnormally, resulting in substantial damage. The nose gear collapsed, and the aircraft slid in snow, indicating abnormal runway contact."
4 Jan 2009,Basler BT-67 Turbo 67 (DC-3T),C-GEAJ,ALCI Aviation,0,Tony Camp,"The Douglas DC-3C Basler turbo-conversion aircraft was on a cargo flight from Novolazarevskaya Station to Tony Camp, transporting spare parts for the cross-country vehicles of a British expedition in Antarctica. The aircraft was flown to destination without incident, where it circled the camp twice for inspection fly-bys of the field. The aircraft was on a trial approach run at 200ft AGL, during which the contrast was poor and conditions were exacerbated by a sudden drop in visibility. The aircraft was inadvertently descended and it flew into the ground. The aircraft came to rest in an upright attitude and intact condition.Damage on initial inspection included both propellers, both engines, flaps and possible landing gear damage.",,Landing,Cargo,Novolazarevskaya Station,Tony Camp,,Tony Camp -Antarctica,CFIT,Controlled Flight Into Terrain,0.95,"The aircraft inadvertently descended and flew into the ground during a trial approach run, which aligns with the definition of an in-flight collision with terrain without indication of loss of control."
4 Jan 2009,Cessna 550 Citation II,N815MA,"Caribair, S.A., lsf JODA LLC",0,"Wilmington-New Hanover County International Airport, NC (ILM)","Cessna 550, N815MA departed the La Isabela Airport (JBQ), Dominican Republic, on January 3, 2009, about 23:00 on an IFR flight to Wilmington, NC (ILM).The crew attempted three ILS approaches to runway 24 at Wilmington, however due to the fog at the airport they were unable to see the runway environment. On the third missed approach the No. 1 engine shut down and the pilots requested a vector from air traffic control for another approach. The pilot stated to ATC that they were low on fuel. While being vectored for the fourth approach, the No. 2 engine shut down and the pilots requested an immediate turn to the airport; they were able to locate the center of the airport on their GPS and ""aimed the airplane at the intersection of the runways."" Approximately 50 feet above ground level the pilots saw a row of lights, paralleled the lights, landed gear up on the departure end of runway 6, overran the runway, and impacted several light stands for runway 24, coming to rest 2,242 feet past the point of the initial touchdown.The airplane received skin damage to the underside of the fuselage and several puncture holes into the pressure vessel.The 0153 weather observation at KILM, reported winds from 020 degrees at 3 knots, a broken cloud layer at 100 feet agl, an overcast cloud layer at 500 feet agl, 1/2 mile visibility, temperature 11 degrees Celsius (C), dew point 10 degrees C, and an altimeter setting of 30.14 inches of mercury.PROBABLE CAUSE: ""A loss of engine power due to the crew's inadequate in-flight fuel monitoring.""",,Landing,Executive,Higuero/La Isabela-Dr. JoaquÃ­n Balaguer Airport (JBQ/MDJB),"Wilmington-New Hanover County International Airport, NC (ILM/KILM)",,"Wilmington-New Hanover County International Airport, NC (ILM) -United States of America",FUEL,Fuel Related,0.95,"The report indicates a loss of engine power due to the crew's inadequate in-flight fuel monitoring, which directly relates to fuel exhaustion."
4 Jan 2009,Cessna 650 Citation VII,XA-PYN,Aero Cabo,0,"Vancouver International Airport, BC (YVR)","A corporate Cessna 650 Citation VII was landing on runway 12 at Vancouver International Airport, BC (YVR), Canada from Tijuana-Rodriguez Airport (TIJ), Mexico. The aircraft began to drift to the left early in the landing roll and exited the runway surface about 4500 feet from the threshold. It travelled through a berm of plowed snow about 18"" deep for about 400-500 feet alongside the runway edge lights, during which time the nose wheel collapsed. The aircraft came to rest straddling the line of runway edge lights beyond the hold short line for the crossing runway 08R/26L. The occupants partially opened the main entrance door and evacuated the aircraft. ARFF crews arrived within two minutes. There were no injuries, fire or hazardous material spills.The hourly METAR (1700 PST) recorded the wind at Vancouver as 140 degrees at 26 knots gusting to 33 knots with 5 sm visibility in light rain showers and temperature of +03 degrees C. A special observation issued at 17:22 (observation likely taken 10 -15 minutes before the issue time) recorded the wind as 120 degrees at 23 knots, gusting to 29 knots with 2.5 sm visibility in light rain and snow showers and temperature of +01 degree C. The runway surface was wet and snow had not been forecast; therefore, there was no runway surface condition (RSC) report available.",,Landing,Executive,Tijuana-Rodriguez Airport (TIJ/MMTJ),"Vancouver International Airport, BC (YVR/CYVR)",,"Vancouver International Airport, BC (YVR) -Canada",RE,Runway Excursion,0.95,"The aircraft departed the side of the runway during the landing roll, which is consistent with the definition of a runway excursion."
9 Jan 2009,Cessna 208 Caravan I,EP-858,Ejército del Perú,0,near Intuto,,,Take off,Military,Intuto Airport (SPNT),Iquitos Airport (IQT/SPQT),,near Intuto -Peru,UNK,Unknown or Undetermined,0.5,The report lacks sufficient information to classify it into a specific ICAO occurrence category.
11 Jan 2009,Xian MA60,RP-C8893,Zest Airways,0,Caticlan-Malay Airport (MPH),"The plane left Manila around 06:13 on a domestic flight to Caticlan (MPH). The flight was uneventful until a go-around was initiated during the first approach at Caticlan.During the second attempt to land the aircraft undershot the runway. After the first touchdown the aircraft bounced and landed on the runway. It then veered to the left side of the runway due to the left landing gear failure upon the contact with the embankment before the road at the end of the runway. The aircraft settled down at the concrete wall of the ramp.Three airport personnel were injured because they were hit by debris when the plane crashed against the concrete perimeter fence. Three passengers suffered serious injuries.The Caticlan Airport has a single runway (06/24) measuring 810 m (2657 ft) in length.PROBABLE CAUSE:- The captainÂs low level of experience (2,675 hours) and less than 500 hours PIC.- The critical runway conditions (950 M and gusty wind conditions No PAPI).- The absence of crew coordination (monitoring and CRM).",,Landing,Passenger - Scheduled,Manila-Ninoy Aquino International Airport (MNL/RPLL),Caticlan-Malay Airport (MPH/RPVE),,Caticlan-Malay Airport (MPH) -Philippines,USOS,Undershoot/Overshoot,0.9,"The aircraft undershot the runway during the second landing attempt, which is a key characteristic of the Undershoot/Overshoot category."
13 Jan 2009,Antonov An-24RV,S9-KAS,Daallo Airlines,0,Bosaso-Bender Qassim International Airport (BSA),"The nose landing gear of the Antonov 24RV failed to deploy while the aircraft was on approach to Bosaso, Somalia.The crew were unable to get it down and decided to perform a forced landing with the nose gear retracted.",,Landing,Passenger - Scheduled,Djibouti-Ambouli Airport (JIB/HDAM),Bosaso-Bender Qassim International Airport (BSA/HCMF),,Bosaso-Bender Qassim International Airport (BSA) -Somalia,ARC,Abnormal Runway Contact,0.95,"The report describes a forced landing with the nose gear retracted, which involves abnormal runway contact during the landing phase."
15 Jan 2009,Learjet 35A,C-GRFO,Skyservice Business Aviation,0,Casablanca-Mohamed V Airport (CMN),"The Learjet 35, registration C-GRFO, lined up off runway centerline and hit several runway edge lights on take-off. The crew continued the flight to London/Luton. On approach to land Luton, the crew received an unsafe gear door indication. The landing at Luton was uneventful and the aircraft taxied without incident to the FBO. Inspection of the aircraft revealed one flat tire and several cut tires. Five out of six wheel assemblies and one of the two landing gear doors will be replaced. Minor nicks to the wings leading edges were found. Three turbine blades were repaired.",,Take off,Ambulance,Casablanca-Mohamed V Airport (CMN/GMMN),London-Luton Airport (LTN/EGGW),,Casablanca-Mohamed V Airport (CMN) -Morocco,ARC,Abnormal Runway Contact,0.95,"The aircraft hit several runway edge lights during takeoff, which constitutes abnormal runway contact."
15 Jan 2009,Ilyushin Il-76MD,RA-76827,Russian Ministry of Interior,0+4,Makhachkala Airport (MCX),"A group of four Ilyushin Il-76MD transport aircraft were engaged in delivering troops, military equipment and cargo from Chkalovsky to Makhachkala, Russia. One of these aircraft, RA-76827, was piloted by a captain who needed currency on the IL-76 and an instructor pilot.During the descent towards Makhachkala, visibility deteriorated quickly from 2000 m to 300-350 m due to the formation of advection-radiation fog.At 20:43, the controller reported a visibility of 800 m, and 1200 m at the runway to the flight crew.However, by that time the visibility had already decreased further. Also, the instructor pilot was not allowed to land in these conditions.At 20:45 the aircraft was 5,59 km from the runway the controller reported that the visibility was 500 m and 1100 m at the runway. At a distance of 1100 m from runway 14, the instructor pilot saw the approach lights and decided to continue to landBy that time, another Il-76 (RA-76825) had taxied to the runway for departure and was waiting on taxiway 2. The hold short line on this taxiway was placed at a distance of 91,30 m from the center line of the runway instead of 120 m.At an altitude of 40 m, the navigator of RA-76827 stated the headlights still needed to be switched on. No action was taken.Just prior commencing the flare, the aircraft entered an area of limited visibility due to advective radiation fog. The aircraft deviated to the left of the centreline and touched down 1 metre inside the runway edge. During the rollout the left-hand wing struck the flight deck of the stationary airplane (RA-76825) on taxiway 2, ripping away a large part of the forward fuselage. A fire erupted. Four of the seven crew members died. RA-76827 suffered damage to the wing but none of the 31 occupants were hurt.Makhachkala has a single runway (14/32), measuring 8688 Ã 230 ft (2648 Ã 70 m).",,Landing,Military,Chkalovsky Airport (CKL/UUMU),Makhachkala Airport (MCX/URML),,Makhachkala Airport (MCX) -Russia,RI-VAP,"Runway Incursion - Vehicle, Aircraft or Person",0.95,"The incident involved an aircraft (RA-76827) colliding with another stationary aircraft (RA-76825) on the taxiway during landing, which constitutes a runway incursion involving vehicles or aircraft."
