Date,Type,Registration,Operator,Fat.,Location,narrative,sources,phase,nature,departure_airport,destination_airport,country,location_detailed,category_code,category_name,confidence_score,classification_reason
2 Jan 2002,Swearingen SA227-AC Metro III,LV-WRA,Baires Fly,0,"Río Gallegos Airport, SC",,,Landing,Cargo,,,,"RÃ­o Gallegos Airport, SC -Argentina",UNK,Unknown or Undetermined,0.5,The report lacks sufficient information to classify the occurrence into a specific ICAO category.
2 Jan 2002,Boeing 727-233 Adv. (F),N262FE,FedEx Express,0,"Greenville-Spartanburg Airport, SC (GSP/KGSP)","According to the Captain, during the first phase of pushback, everything appeared normal. The first and second officers were completing the engine start check and the airplane was being pushed back from the gate when the airplane came to a stop. The tug operator stated that during pushback, the airplane nose wheel hit a patch of ice. As he applies brakes to stop the tug,  the airplane began to slide. Unable to stop the movement, the tug driver jumped from the tug to avoid getting caught between the tug and airplane. The tug came to rest lodged under the fuselage of the airplane creating a 10-inch by 14-inch hole in the underside of the fuselage breaking two stringers.Probable Cause: The tug driver's failure to maintain control of the airplane during pushback resulting in the tug colliding with the airplane.   A factor was ice on the ramp.",,Unknown,Unknown,"Greenville-Spartanburg Airport, SC (GSP/KGSP)","Memphis International Airport, TN (MEM/KMEM)",,"Greenville-Spartanburg Airport, SC (GSP/KGSP) -United States of America",RAMP,Ground Handling,0.95,"The incident occurred during ground handling operations, specifically during pushback, and involved a collision between the tug and the aircraft."
4 Jan 2002,Bombardier CL-600-2B16 Challenger 604,N90AG,Epps Air Service,5,Birmingham International Airport (BHX),"Challenger N90AG was prepared for a flight from Birmingham, UK to Bangor. The flight was cleared to taxi at 12:01 hrs. The captain was pilot-non-flying and was seated in the right cockpit seat. During taxi, the crew completed their normal Before Takeoff Checks; these included confirmation that the control checks had been completed and that anti-ice might be required immediately after takeoff. Flap 20 had been selected for takeoff and the following speeds had been calculated and briefed by the pilots: V1 137 kt; VR 140 kt; V2 147 kt. By 12:06, the aircraft was cleared to line up on runway 15. At 12:07 hrs, N90AG was cleared for takeoff with a surface wind of 140Â°/8 kt. Takeoff appeared normal up to lift-off. Rotation was started at about 146 kt. Lift-off occurred 2 seconds later, at about 153 kt and with a pitch attitude of about 8 degrees nose-up. Immediately after lift-off, the aircraft started to bank to the left. The rate of bank increased rapidly and 2 seconds after lift-off the bank angle had reached 50 degrees. At that point, the aircraft heading had diverged about 10 degrees to the left. Opposite aileron, followed closely by right rudder, was applied as the aircraft started banking; full right aileron and full right rudder had been applied within 1 second and were maintained. As the bank angle continued to increase, progressively more aircraft nose-up elevator was applied. Stick-shaker operation initiated 3.5 seconds after lift-off. The left winglet contacted the runway shoulder, the outboard part of the left wing detached and the aircraft struck the ground inverted, structurally separating the forward fuselage. Fuel released from ruptured tanks ignited and the wreckage slid to a halt on fire. The last recorded aircraft attitude was approximately 111 degrees left bank and 13 degrees nose-down pitch.CAUSAL FACTORS: ""1. The crew did not ensure that N90AG's wings were clear of frost prior to takeoff.;  2. Reduction of the wing stall angle of attack, due to the surface roughness associated with frost contamination, to below that at which the stall protection system was effective.; 3. Possible impairment of crew performance by the combined effects of a non-prescription drug, jet-lag and fatigue.""",,Take off,Executive,Birmingham International Airport (BHX/EGBB),"Bangor International Airport, ME (BGR/KBGR)",,Birmingham International Airport (BHX) -United Kingdom,ICE,Icing,0.95,"The primary causal factor identified in the report is the failure of the crew to ensure that the aircraft's wings were clear of frost prior to takeoff, leading to a reduction in the wing stall angle of attack due to surface roughness associated with frost contamination."
8 Jan 2002,Swearingen SA-227AT Expediter,N556UP,Ameriflight,0,"Covington, Kentucky","The pilot was taxiing an airplane across an open lighted ramp area at night.  He observed a tug closing from his left side and when the tug did not give way to the airplane, he initiated braking.  The tug struck the airplane on the nose, inflicting substantial damage.  The tug driver reported that he did not observe the airplane in time to prevent the collision.  No obstructions to visibility were present for the pilot or tug driver.  Airport rules required vehicles to yield the right-of-way to airplanes.Probable Cause: the tug driver's inadequate visual lookout which resulted in his failure to see the airplane in time to prevent the collision.",,Unknown,Unknown,"Cincinnati/Northern Kentucky Airport, KY (CVG/KCVG)","Birmingham-Shuttlesworth International Airport, AL (BHM/KBHM)",,"Covington, Kentucky -United States of America",GCOL,Ground Collision,0.95,The incident involved a collision between an aircraft and a ground vehicle (tug) while the aircraft was taxiing on a surface other than the runway used for landing or intended for takeoff.
8 Jan 2002,Tupolev Tu-134A-3,RA-65004,Pulkovo Aviation Enterprise,0,Saint Petersburg-Pulkovo Airport (LED),,,Unknown,Unknown,,,,Saint Petersburg-Pulkovo Airport (LED) -Russia,UNK,Unknown or Undetermined,0.9,The report lacks sufficient information to classify it into a specific ICAO occurrence category.
9 Jan 2002,Lockheed KC-130R Hercules,160021,United States Marine Corps,7,near Shamsi,"A USMC Lockheed KC-130R Hercules transport plane was destroyed in an accident near Shamsi, Pakistan. All seven crew members were killed.The crew had requested a non-standard approach night time from the northeast, possibly because they were running half an hour late.This request was denied as USMC aircraft were only allowed to land from the southwest to avoid overflying Shamsi at night. The crew then circled over a ridge with their altitude dropping to 3200 feet below the minimum safe altitude.The airplane struck a mountainside at 3800 feet. The crew likely became disoriented while attempting the night landing.The aircraft was attached to VMGR-352, MCAS Miramar, California.",,Approach,Military,Jacobabad Airport (JAG/OPJA),Shamsi,,near Shamsi -Pakistan,CFIT,Controlled Flight Into Terrain,0.95,"The aircraft collided with a mountainside during approach, indicating an in-flight collision with terrain without loss of control."
12 Jan 2002,ATR 42-512,VP-BVE,ACES - Aerolineas Centrales de Colombia,0,near Cartagena,"About 5 minutes after takeoff, the pilots felt high vibrations in the airplane, and the No. 2 engineÂs low oil pressure warning light illuminated. When the pilots attempted to shut down the No. 2 engine with the fuel lever, the lever jammed. They then shut down the engine by pulling the fire handle. The airplane returned to Cartagena for an emergency landing. An initial examination of the No. 2 engineÂs propeller assembly revealed one of the six blades had separated through the metal base just outboard of the propeller hub. An adjacent blade was fractured through the composite airfoil at about the midspan area. The examination of the engine revealed that both of the forward engine mounts had broken, and the engine sagged to the bottom of the engine cowling.PROBABLE CAUSE: (translated from original Spanish language report) ""Preventive maintenance programs which did not allow the detection of corrosion in the base of the blade with serial number FR341 leading to fatigue and separation thereof.""",,En route,Passenger - Scheduled,Cartagena-Rafael NÃºÃ±ez Airport (CTG/SKCG),Bucaramanga-Palo Negro Airport (BGA/SKBG),,near Cartagena -Colombia,SCF-PP,System/Component Failure or Malfunction (Powerplant),0.95,"The report describes a failure in the No. 2 engine, including a low oil pressure warning, a jammed fuel lever, and broken engine mounts, which are indicative of a powerplant system/component failure."
14 Jan 2002,Tupolev Tu-204-100,RA-64011,Sibir Airlines,0,Omsk Airport (OMS),"Bad weather at destination Novosibirsk had forced the crew to divert to Omsk. It descended from 9,600 m (31,500 feet) to 3,000 m (9,840 feet) before coming under the guidance of the local approach control centre and being cleared to land. At 1,000 m (3,280 feet) both engines failed. The crew managed to extend the landing gear. The aircraft skidded off the icy runway and came to rest 450 m past the end of the runway.",,Landing,Passenger - Scheduled,Frankfurt International Airport (FRA/EDDF),Novosibirsk-Tolmachevo Airport (OVB/UNNN),,Omsk Airport (OMS) -Russia,RE,Runway Excursion,0.95,The aircraft skidded off the icy runway and came to rest 450 m past the end of the runway during the landing phase.
14 Jan 2002,Boeing 737-291,PK-LID,Lion Air,0,Pekanbaru-Sultan Syarif Kasim II Airport (PKU),"The Boeing 737 arrived in Pekanbaru on schedule after a flight from Jakarta. The airplane was prepared for the continuing flight to Batam. At 10:05 the First Officer asked for start clearance and received weather information. The weather was fine, wind calm and clear. After start-up was completed, the aircraft taxied to runway 18. The crew decided to use 'reduced take off power' with an assumed temperature of 35 deg. C, while the actual temperature was 27 deg. C. The First Officer acted as Pilot Flying. After being cleared for takeoff, the captain advanced the throttles and adjusted them to the required take off power setting. He then called the V1 and VR speeds and the First Officer pulled the control column to a 15 deg. nose up pitch. The aircraftÂs nose lifted up, but the aircraft did not become airborne. The stick shaker activated. The captain then added power and the speed increased to V2+15 (approx. 158 KIAS) but the aircraft still did not get airborne. The captain then decided to abort . He called 'stop', retarded the power levers to idle, applied reverse thrust, extended the speed brake and applied brakes. The nose of the aircraft touched down hard, causing the front left door (L1) to open and two trolleys at front galley to move forward, blocking the cockpit door. The flight crew turned the aircraft slightly to the right to avoid approach lights ahead. It hit some trees and stopped at approx. 275 meters from the end of runway.PROBABLE CAUSE: ""Since there is no indication that flaps system failure or flap asymmetry contributes in the failure of flap to travel to take-off configuration, the most probable cause for the failure is the improper execution of take-off checklist. Failure of the maintenance to identify the real problem on the aural warning CB, causes the CB to open during the accident and therefore is a contributing factor to the accident.""",,Take off,Passenger - Scheduled,Pekanbaru-Sultan Syarif Kasim II Airport (PKU/WIBB),Batam-Hang Nadim Airport (BTH/WIDD),,Pekanbaru-Sultan Syarif Kasim II Airport (PKU) -Indonesia,RE,Runway Excursion,0.95,"The aircraft departed the end of the runway during the takeoff phase, which is consistent with the definition of a runway excursion."
14 Jan 2002,Embraer EMB-120RT Brasilia,EC-GTJ,Ibertrans Aérea,3,2 km SE of Zaldívar,"Flight IBT1278 departed Madrid (MAD) at 06:35 for a flight to Bilbao (BIO), with 2873 kg of cargo on board. The aircraft climbed to its assigned cruising altitude of FL220, which was reached at 06:53. Permission to descend was given at 07:12 and at 07:23 the crew started an ILS approach to runway 30. Two minutes later the captain experienced control problems, which he attributed to an autopilot malfunction. An increase in the rate of descent went unnoticed by the crew who tried to find out the cause of the control problems. As the plane was descending over mountainous terrain, the GPWS alarm sounded three times. The approach controller then asked if the flight was established on the localizer and ILS glidepath. The copilot then replied that they had captured the localizer. Approach Control then instructed the crew to contact Bilbao Tower. Contact was not established however. The copilot noticed that they had not captured the glidepath and informed the captain. The airplaneÂ´s speed and rate of descent were reduced and a smooth climb was initiated. Six seconds later the airplane flew into the side of the Monte de Santa Marina, some 18 nm (33 km) from Bilbao Airport. The mountain has an altitude of 675 m (2215 ft).CAUSAS: ""El accidente se produjo por no mantener la aeronave una separaciÃ³n adecuada con el terreno cuando se realizaba la maniobra de aproximaciÃ³n al aeropuerto de destino, como consecuencia de haber focalizado la tripulaciÃ³n su atenciÃ³n en la desconexiÃ³n del piloto automÃ¡tico . A partir del momento en que surgieron dificultades con los mandos de vuelo, la tripulaciÃ³n no realizÃ³ los procedimientos estÃ¡ndar de operaciÃ³n establecidos por el explotador de la aeronave.""",,En route,Cargo,Madrid-Barajas Airport (MAD/LEMD),Bilbao Airport (BIO/LEBB),,2 km SE of ZaldÃ­var -Spain,CFIT,Controlled Flight Into Terrain,0.95,"The aircraft collided with terrain during an approach phase without indication of loss of control, which aligns with the definition of Controlled Flight Into Terrain (CFIT)."
