Date,Type,Registration,Operator,Fat.,Location,narrative,sources,phase,nature,departure_airport,destination_airport,country,location_detailed,category_code,category_name,confidence_score,classification_reason
1 Jan 2007,Boeing 737-4Q8,PK-KKW,AdamAir,102,85 km W off Pambauang,"AdamAir flight 574, a Boeing 737-400, crashed into the sea following a loss of control 85 km west off Pambauang, Indonesia, killing all 102 occupants.The Adamair flight went missing during a domestic flight to Manado. Last contact was at 14:07 when the flight was enroute at FL350. Initial reports indicate that the flight changed course twice as a result of severe (130 km/h) crosswind. The airplane crashed into the sea. On January 11 part of a jetliner's tail, food trays and other debris was pulled from the sea. On January 25 a U.S. navy ship detected signals coming from the flight recorder.The FDR was recovered from a depth of on 2000 m August 27. The CVR was recovered on August 28 from a depth of 1900 m.Investigators found that, during the flight from Surabaya to Manado, the Inertial Reference System (IRS) malfunctioned. Both pilots became engrossed with trouble shooting the IRS anomalies for at least the last 13 minutes of the flight, with minimal regard to other flight requirements. The pilots selected Attitude in the IRS, which disengaged the autopilot. After the autopilot disengaged and the aircraft rolled right and exceeded 35 degrees right bank, the pilots appeared to have become spatially disoriented. Control was lost and the airplane broke up and crashed into the sea.CAUSES:1) Flight crew coordination was less than effective. The PIC did not manage the task sharing; crew resource management practices were not followed.2) The crew focused their attention on trouble shooting the Inertial Reference System (IRS) failure and neither pilot was flying the aircraft.3) After the autopilot disengaged and the aircraft exceeded 30 degrees right bank, the pilots appeared to have become spatially disoriented.4) The AdamAir syllabus of pilot training did not cover complete or partial IRS failure.5) The pilots had not received training in aircraft upset recovery, including spatial disorientation.OTHER CAUSAL FACTORS:1) At the time of the accident, AdamAir had not resolved the airworthiness problems with the IRS that had been reoccurring on their Boeing 737 fleet for more than 3 months.2) The AdamAir maintenance engineering supervision and oversight was not effective and did not ensure that repetitive defects were rectified.",,En route,Passenger - Scheduled,Surabaya-Juanda Airport (SUB/WARR),Manado-Sam Ratulangi Airport (MDC/WAMM),,85 km W off Pambauang -Indonesia,LOC-I,Loss of Control - In Flight,0.95,"The report describes a loss of control in flight due to spatial disorientation and failure to manage the aircraft's systems, leading to a crash."
5 Jan 2007,Boeing 737-7H4 (WL),N464WN,Southwest Airlines,0,"Burbank , California","On January 5, 2007, at 1724 Pacific standard time, Southwest Airlines flight 2128, a Boeing 737-7H4, N464WN, encountered turbulence during climb-out near Burbank, California.  Southwest Airlines, Inc., was operating the airplane as a scheduled domestic passenger flight under the provisions of 14 CFR Part 121.  The airline transport pilot licensed captain and first officer, 3 flight attendants, and 88 passengers were not injured; one passenger sustained a fractured rib.  The flight departed Bob Hope Airport  (BUR), Burbank, at 1718 as a nonstop flight to Oakland, California (OAK).  Visual meteorological conditions prevailed, and an instrument flight rules (IFR) flight plan had been filed.",,En route,Passenger - Scheduled,,,,"Burbank , California -United States of America",TURB,Turbulence Encounter,1.0,"The report describes an encounter with turbulence during climb-out, resulting in a passenger injury."
7 Jan 2007,Beechcraft A100 King Air,C-GFFN,Transwest Air,1,"Sandy Bay Airport, SK","Transwest Air Flight 350 (TW350), a Beechcraft A100 King Air, registration C-GFFN, departed La Ronge, Saskatchewan, at 19:30 under instrument flight rules to Sandy Bay, with two flight crew members and two emergency medical technicians aboard. At 19:48, air traffic control cleared TW350 out of controlled airspace via the Sandy Bay runway 05 non-directional beacon approach. The crew flew the approach straight-in to runway 05 and initiated a go-around from the landing flare. The aircraft did not maintain a positive rate of climb during the go-around and collided with trees just beyond the departure end of the runway. All four occupants survived the impact and evacuated the aircraft. The captain died of his injuries before rescuers arrived. Both emergency medical technicians were seriously injured, and the first officer received minor injuries. The aircraft sustained substantial damage from impact forces and was subsequently destroyed by a post-impact fire.FINDINGS AS TO CAUSES AND CONTRIBUTING FACTORS:1. The crew was unable to work effectively as a team to avoid, trap, or mitigate errors and safely manage the risks associated with flight TW350.2. Transwest Air (TWA) managers had identified and addressed some crew pairing issues with respect to this crew, but were unaware of the degree to which these factors could impair their effective crew coordination.3. The crew's lack of coordination was, in part, because they had not received recent crew resource management (CRM) training.4. Contrary to company policy, the approach to Sandy Bay, Saskatchewan, was flown by the less experienced crew member.5. The crew members did not assess the aircraft performance and did not identify runway length as a threat. Consequently, they did not discuss and agree on a point at which a safe landing was no longer possible and were unprepared to make and execute a timely go-around decision.6. The first officer suggested a go-around at an appropriate time. However, inadequate preparation and coordination by the crew members resulted in the captain rejecting this suggestion and they continued the approach past the point at which the aircraft could be safely stopped on the runway.7. The captain decided to initiate a go-around, but his communication of this decision to the first officer was non-standard and did not have the desired effect of triggering the correct sequence of go-around actions required.8. The captain very likely took control of the aircraft from the first officer using the non-standard transfer of control practice the crew had developed, thereby causing confusion, which further eroded the limited opportunity to achieve a positive climb.9. The discrepancy in the standard operating procedures (SOPs) describing the selection of flaps during go-around likely led to both pilots independently operating the flap control lever, distracting them from monitoring the climb performance during the go-around.10. It is likely that a somatogravic illusion caused the pilot flying (PF) to lower the nose of the aircraft. Consequently, the aircraft did not maintain a positive rate of climb and collided with the trees.11. Deficiencies in TWA's supervisory activities permitted the undetected development and persistence of substantial and widespread deviations from SOPs within the King Air operation.12. The company management structure and workload, combined with the location of managers away from the remote bases of operations, reduced the effectiveness of operational control.",,Approach,Ambulance,"La Ronge Airport, SK (YVC/CYVC)","Sandy Bay Airport, SK",,"Sandy Bay Airport, SK -Canada",CFIT,Controlled Flight Into Terrain,0.9,"The aircraft collided with trees during a go-around attempt without indication of loss of control, fitting the definition of an in-flight collision with terrain."
9 Jan 2007,British Aerospace 3112 Jetstream 31,C-FBIP,Peace Air,0,"Fort St. John Airport, BC (YXJ)","Peace Air Ltd. Flight PE905 departed Grande Prairie (CYQU) at 10:40 MST on the first leg of a scheduled run to Fort St. John (CYXJ), Fort Nelson, BC, and Grande Prairie.Air traffic control (ATC) cleared the flight to maintain 12 000 feet above sea level (asl), and to hold on the TAYLOR non directional beacon (NDB), which forms the final approach fix for the instrument landing system (ILS) approach to runway 29 at St. John. At 11:09, Flight PE905 was cleared for an ILS approach to runway 29. The first approach was discontinued due to the aircraft being too high on the final approach leg, and clearance was given to return to the TAYLOR NDB at 6000 feet. At 11:23, ATC cleared the flight for another ILS approach to runway 29. The second approach was conducted as a full procedure with the outbound leg extended to ensure that the aircraft was positioned to follow the correct vertical approach profile.The final approach course was flown with a flap setting of 20Âº and at the company standard operating procedure (SOP) recommended airspeed of 130 knots. At approximately 300 feet above ground level, the first officer informed the captain that he had the ground in sight. The approach lights were visual shortly thereafter. The captain discontinued his instrument scan and confirmed the appearance of the approach lights. The captain made the decision to land, and called for the full flap setting of 35Âº. The first officer diverted his attention to setting flaps, and to the Vref reference cards clipped to the instrument panel. When he looked up, the aircraft was almost on the ground, but short of the runway. There was insufficient time to warn the captain.The aircraft initially touched down in a nearly wings-level attitude, 320 feet short of the threshold in about 16 inches of packed snow. The left main gear contacted the surface first, followed by the right main gear, and then the nose wheel. The aircraft then struck the last set of approach lights, bounced slightly, and touched down again 180 feet short of the threshold. After sliding through the threshold lights, the aircraft came to rest on the right edge of the runway, 380 feet beyond the threshold. The right main gear had broken off, and the nose gear had collapsed rearward. Both propellers were damaged by ground contact. The aircraft was equipped with a belly-mounted cargo pod, which supported the fuselage during impact.FINDINGS AS TO CAUSES AND CONTRIBUTING FACTORS:1. A late full flap selection at 300 feet above ground level (agl) likely destabilized the aircraft's pitch attitude, descent rate and speed in the critical final stage of the precision approach, resulting in an increased descent rate before reaching the runway threshold.2. After the approach lights were sighted at low altitude, both pilots discontinued monitoring of instruments including the glide slope indicator. A significant deviation below the optimum glide slope in low visibility went unnoticed by the crew until the aircraft descended into the approach lights.FINDING AS TO RISK:1. The crew rounded the decision height (DH) figure for the instrument landing system (ILS) approach downward, and did not apply a cold temperature correction factor. The combined error could have resulted in a descent of 74 feet below the DH on an ILS approach to minimums, with a risk of undershoot.OTHER FINDING:1. The cockpit voice recorder (CVR) was returned to service following an intelligibility test that indicated that the first officer's hot boom microphone intercom channel did not record. Although the first officer voice was recorded by other means, a potential existed for loss of information, which was key to the investigation.",,Landing,Passenger - Scheduled,"Grande Prairie Airport, AB (YQU/CYQU)","Fort St. John Airport, BC (YXJ/CYXJ)",,"Fort St. John Airport, BC (YXJ) -Canada",USOS,Undershoot/Overshoot,0.95,"The aircraft touched down significantly short of the intended touchdown zone, which is characteristic of an undershoot occurrence. The narrative describes the aircraft initially touching down 320 feet short of the runway threshold, which aligns with the definition of the USOS category."
9 Jan 2007,Learjet 24F,N444TW,Ameristar Jet Charter,2,30 km E of Guadalajara-Miguel Hidal Airport (GDL),"Ameristar flight 878 departed Laredo (LRD) at 22:10. At about 23:13, radar contact was established with Guadalajara Approach Control and the flight was cleared to descend from FL260 to FL240. About 10 seconds later the flight was cleared to descend to 12,000 feet, was provided an altimeter setting of 30.28 inches, and was told to expect radar vectors for the ILS 28 approach. At 23:18, the flight was given a right turn to a heading of 120 degrees. At 23:20:38, the flight was cleared to descend to 9,000 feet. The airplane was last observed on radar descending through 9,200 feet, when the airplane was crossing the GDL VOR 085 degree radial. The Learjet impacted terrain.",,Approach,Cargo,"Laredo International Airport, TX (LRD/KLRD)",Guadalajara-Don Miguel Hidalgo y Costilla International Airport (GDL/MMGL),,30 km E of Guadalajara-Miguel Hidal Airport (GDL) -Mexico,CFIT,Controlled Flight Into Terrain,0.95,The report describes an in-flight collision with terrain during the approach phase without any indication of loss of control.
9 Jan 2007,Antonov An-26B-100,ER-26068,Aeriantur-M Airlines,34,"2,5 km from Balad Air Base","An Antonov An-26 passenger plane was destroyed in an accident near Balad Air Base, Iraq. Of the 30 passengers and five crew members one passenger survived the accident.The Antonov was chartered to fly Turkish construction workers to Iraq. It crashed while on approach to the Balad Air Base, a U.S. base 80 km (50 miles) north of the capital Baghdad.The accident is reported to have occurred during the second attempt to land in fog.",,Approach,Passenger - Non-Scheduled/charter/Air Taxi,Adana Airport (ADA/LTAF),Balad Air Base (ORBD),,"2,5 km from Balad Air Base -Iraq",CFIT,Controlled Flight Into Terrain,0.95,"The aircraft crashed while on approach to the airbase in fog, indicating an in-flight collision with terrain without indication of loss of control."
10 Jan 2007,Learjet 35A,N40AN,AirNet Systems,0,"near Columbus, OH","The airplane was substantially damaged during an in-flight recovery after the captain attempted an intentional aileron roll maneuver during cruise flight and lost control. The captain reported the airplane was ""functioning normally"" prior to the intentional aileron roll maneuver. The captain stated that the ""intentional roll maneuver got out of control"" while descending through flight level 200. The captain reported that the airplane ""over sped"" and experienced ""excessive G-loads"" during the subsequent recovery. The copilot reported that the roll maneuver initiated by the captain resulted in a ""nose-down unusual attitude"" and a ""high speed dive."" Inspection of the airplane showed substantial damage to the left wing and elevator assembly.PROBABLE CAUSE: ""The pilot's failure to maintain aircraft control during an inflight maneuver which resulted in the design stress limits of the airplane being exceeded. A factor was the excessive airspeed encountered during recovery.""",,En route,Cargo,"Jacksonville International Airport, FL (JAX/KJAX)","Columbus (unknown airport), OH",,"near Columbus, OH -United States of America",AMAN,Abrupt Maneuver,0.95,The report describes an intentional aileron roll maneuver during cruise flight that resulted in loss of control and substantial damage to the aircraft. This fits the description of an 'Abrupt Maneuver' where intentional maneuvering led to an adverse outcome.
11 Jan 2007,CASA/IPTN NC-212 Aviocar 200,PK-BRM,Aviastar Mandiri,0,Sangata-Tanjung Bara Airport,"The Aviocar aircraft registered PK-BRM, was on a charter flight from Balikpapan, East Kalimantan to Tanjung Bara, East Kalimantan, Indonesia.The aircraft departed from Balikpapan at 23:00 UTC with a planned flight time of 55 minutes at an altitude of 7000 feet. There were 13 people on board; two pilots, a maintenance engineer, and 10 passengers. The pilot in command (PIC) was the pilot flying for the sector to Tanjung Bara, and the copilot was the monitoring pilot.The flight was normal until 5 minutes before landing when the number 1 (left engine) generator malfunctioned. The pilot in command (PIC) asked the maintenance engineer on board the aircraft, who advised that there was no problem for the aircraft operations.The aircraft made its final approach to runway 04 at Tanjung Bara at 23:50. The aircraft touched down to the right of the centreline, then diverged right into soft wet ground, impacting a channel embankment and subsequently a barbed-wire airport perimeter fence.The investigation determined that aircraft was not being flown on a stabilized approach and subsequently touched down to the right of the runway centerline. It then veered to the right of centerline after touchdown and the PICs effort to bring the aircraft back to the runway centreline by using aileron was ineffective.There was no evidence that visibility affecting visual acquisition of the runway was a factor. However, the investigation considered that a visual approach guidance system such as Visual Approach System Indication (VASI), may have provided additional visual cues to alert the pilots to the prevent the unstabilized approach.Causes:1. The pilot in command (PIC) continued to land the aircraft from an unstabilized approach.2. The PIC did not maintain effective and appropriate control of the aircraft on the ground.",,Landing,Passenger - Non-Scheduled/charter/Air Taxi,Balikpapan-Sepingan Airport (BPN/WALL),Sangata-Tanjung Bara Airport (WRLJ),,Sangata-Tanjung Bara Airport -Indonesia,ARC,Abnormal Runway Contact,0.95,"The report describes an incident where the aircraft touched down to the right of the centerline and subsequently veered off the runway, indicating abnormal runway contact during landing."
12 Jan 2007,Cessna 525 CitationJet,N77215,SunQuest Executive Air Charter,2,"Los Angeles-Van Nuys Airport, CA (VNY)","The CitationJet took off from Van Nuys (VNY) runway 34L to pick up two passengers at Long Beach (LGB). Witnesses near the end of the runway said that the front left baggage door was open, and standing straight up. The airplane was about 200 feet agl.All of the witnesses stated that the airplane turned slightly left, leveled off, and was slow. It began descending, and the wings were slightly rocking. Several of the witnesses felt that the airplane stalled, and made a hard right turn. The wings were nearly vertical to the ground when the airplane hit the ground. The right wing tip hit the street; the left wing hit a light pole, and went through a set of power lines perpendicular to the flight path. The airplane continued through a wire fence with a cinder block wall behind it, and then through another cinderblock wall with a wire fence behind it.PROBABLE CAUSE: ""The pilot's failure to maintain an adequate airspeed during the initial climb resulting in an inadvertent stall/spin. Contributing to the accident were the second pilots inadequate preflight, failure to properly secure the front baggage door, and the front left baggage door opening in flight, which likely distracted the first pilot""",,Initial climb,Ferry/positioning,"Los Angeles-Van Nuys Airport, CA (VNY/KVNY)","Long Beach Municipal Airport, CA (LGB/KLGB)",,"Los Angeles-Van Nuys Airport, CA (VNY) -United States of America",LOC-I,Loss of Control - In Flight,0.95,"The report describes a loss of control during the initial climb phase, resulting in an inadvertent stall/spin and subsequent crash. This fits the definition of 'Loss of Control - In Flight' as it involves the aircraft losing control while airborne."
13 Jan 2007,Boeing 737-230C,PK-RPX,"Gading Sari Aviation Services, lsf RPX Airlines",0,Kuching Airport (KCH),"The Boeing 737 operated on a flight on behalf of the Malaysian postal services, departing Kuala Lumpur (KUL) around 04:00. Upon landing the airplane skidded off the side of the runway, coming to rest in the grass, about 1,500 m from the runway threshold. One engine and the main gear had separated.A few hours earlier a thunderstorm had passed the airport.",,Landing,Cargo,Kuala Lumpur International Airport (KUL/WMKK),Kuching Airport (KCH/WBGG),,Kuching Airport (KCH) -Malaysia,RE,Runway Excursion,0.95,"The aircraft skidded off the side of the runway during the landing phase, which is a clear indication of a runway excursion."
