Date,Type,Registration,Operator,Fat.,Location,narrative,sources,phase,nature,departure_airport,destination_airport,country,location_detailed,category_code,category_name,confidence_score,classification_reason
2 Jan 2001,Beechcraft 200 Super King Air,N45CF,Private,0,"Naples, FL","The airplane was parked by an unknown person from Naples Airport Authority after landing several days earlier and according to personnel from the Naples Airport Authority, remained in the same position that it had been parked from then to the arrival of the pilot to depart on the accident date.  The pilot stated that personnel from Naples Airport Authority were busy and unable to take several passengers to the airplane from the fixed base operator (FBO).  During the preflight, he noted the light pole was just behind the outboard side of the right wing.  He obtained his IFR clearance and was cleared to taxi.  He began to taxi without a marshaller and with a row of airplanes ahead of his location, he initiated an immediate left turn to maintain right wingtip clearance with parked airplanes.  During the turn, the right horizontal stabilizer contacted the light pole.  Individuals nearby who witnessed the collision ran near the airplane and got the pilots attention who then secured the airplane.  According to a Federal Aviation Administration airworthiness inspector who examined the airplane, the leading edge of the right horizontal stabilizer and the forward and aft spars of the vertical stabilizer were damaged.  Examination of the area where the airplane had been parked revealed double concentric circles pole painted on the ramp centered on the light pole; the outer circle had a radius of approximately 32 feet.  Radial lines were painted on the ramp from the base of the light pole to the inner circle line.  A north/south oriented taxiway line west of where the airplane had been parked was blacked out; no leadout line was noted from the spot where the airplane had been parked forward to the blacked out taxiway line.Probable Cause: The failure of the pilot to obtain assistance from the FBO in the form of a marshaller and failure of the pilot to maintain clearance resulting in the on-ground collision with the light pole.",,Taxi,Private,"Naples Airport, FL (APF/KAPF)","Louisville-Bowman Field, KY (LOU/KLOU)",,"Naples, FL -United States of America",GCOL,Ground Collision,0.95,"The incident involved a collision with a light pole while the aircraft was on the ground during taxi, which fits the definition of a ground collision."
4 Jan 2001,Learjet 35,N435JL,Air Response North,0,"Schenectady-County Airport, NY (SCH)","A Learjet 35, N435JL, was substantially damaged during an aborted takeoff at the Schenectady-County Airport, NY (SCH). The certificated airline transport pilot, commercial pilot, and passenger were not injured. Visual meteorological conditions prevailed, and an IFR flight plan was filed for the air response medical flight to New York-La Guardia Airport, NY (LGA).The captain stated that prior to departure the flight controls were tested, with no abnormalities noted, and the takeoff trim was set to the ""middle of the takeoff range,"" without referring to any available pitch trim charts. During the takeoff roll on runway 28, the pilot attempted to rotate the airplane twice, and then aborted the takeoff halfway down the 4,840 foot long runway, because the controls ""didn't feel right."" The airplane traveled off the departure end of the runway and through a fence, and came to rest near a road. The pilot reported no particular malfunction with the airplane. Examination of the airplane revealed that the horizontal stabilizer was positioned at -4.6 degrees, the maximum nose down limit within the takeoff range. The horizontal stabilizer trim and elevator controls were checked, and moved freely through their full ranges of travel. According to the AFM TAKEOFF TRIM C.G. FUNCTION chart, a horizontal stabilizer trim setting of -7.2 was appropriate with the calculated C.G. of 20% MAC.PROBABLE CAUSE: ""The pilot's improper trim setting, which resulted in a runway overrun and impact with a fence.""",,Take off,Ambulance,"Schenectady-County Airport, NY (SCH/KSCH)","New York-La Guardia Airport, NY (LGA/KLGA)",,"Schenectady-County Airport, NY (SCH) -United States of America",RE,Runway Excursion,0.95,"The aircraft departed the end of the runway during an aborted takeoff, which fits the definition of a runway excursion."
4 Jan 2001,Shaanxi Y-8,31243,People's Liberation Army - Air Force - PLAAF,8,near Zheng Zou Air Base,"On January 4, 2001, the 37th Regiment of the 13th Division of the Air Force Aviation Corps organized a daytime recovery training. The crew led by Battalion Commander Meng Fankui and the crew led by Battalion Commander Wang Song flew two Y-8C aircraft (registration numbers 31242 and 31243) respectively for Exercise 542 (daytime instrument landing flight). During the cloud-penetrating landing, the horizontal stabilizers of the aircraft iced up severely, leading to stalls. Unable to make accurate judgments, the flight crew deployed the flaps at a large angle, which further caused severe stalls of the horizontal stabilizers. The aircraft then nosed down sharply, and the pilots were unable to regain control, resulting in vertical crashes (both aircraft crashed at an angle of 90-110 degrees). All 16 crew members on the two aircraft sacrificed their lives. Aircraft 31242 also caused 6 deaths and 2 injuries on the ground.",,Approach,Military,,Zhengzhou Air Base,,near Zheng Zou Air Base -China,ICE,Icing,0.95,"The report describes severe icing on the horizontal stabilizers during the approach phase, leading to stalls and loss of control, which is consistent with the 'Icing' category."
4 Jan 2001,Shaanxi Y-8,31242,People's Liberation Army - Air Force - PLAAF,8+6,"Zhengzhou, Henan Province","On January 4, 2001, the 37th Regiment of the 13th Division of the Air Force Aviation Corps organized a daytime recovery training. The crew led by Battalion Commander Meng Fankui and the crew led by Battalion Commander Wang Song flew two Y-8C aircraft (registration numbers 31242 and 31243) respectively for Exercise 542 (daytime instrument landing flight). During the cloud-penetrating landing, the horizontal stabilizers of the aircraft iced up severely, leading to stalls. Unable to make accurate judgments, the flight crew deployed the flaps at a large angle, which further caused severe stalls of the horizontal stabilizers. The aircraft then nosed down sharply, and the pilots were unable to regain control, resulting in vertical crashes (both aircraft crashed at an angle of 90-110 degrees). All 16 crew members on the two aircraft sacrificed their lives. Aircraft 31242 also caused 6 deaths and 2 injuries on the ground.",,Approach,Military,,Zhengzhou Air Base,,"Zhengzhou, Henan Province -China",ICE,Icing,0.95,"The report describes severe icing on the horizontal stabilizers during approach, leading to stalls and loss of control, which is consistent with the 'Icing' category."
5 Jan 2001,Boeing 727-46F,S9-BAI,Air Gemini Cargo,0+1,Dundo Airport (DUE),The cargo plane approached Dundo in favourable weather conditions. The airplane touched down just short of the runway. The right main landing gear collapsed after striking the raised lip of the runway. The Boeing 727 continued onto the runway and deviated to the right; it slid off the runway onto an area covered with high grass and bushes. Then the other landing gear legs collapsed. In the mishap a man was killed who had stopped to relieve himself close to runway.,,Landing,Cargo,Luanda-4 de Fevereiro Airport (LAD/FNLU),Dundo Airport (DUE/FNDU),,Dundo Airport (DUE) -Angola,USOS,Undershoot/Overshoot,0.95,"The aircraft touched down just short of the runway, which is indicative of an undershoot event. The subsequent collapse of the landing gear and deviation off the runway are consistent with the consequences of an undershoot."
6 Jan 2001,Britten-Norman BN-2A-2 Islander,8R-GFN,Guyana Defence Force,3,9 km from Mahdia,,,En route,Military,Kato Airport (KTO/SYKT),Mahdia Airport (MHA/SYMD),,9 km from Mahdia -Guyana,UNK,Unknown or Undetermined,0.8,The report lacks sufficient information to classify the occurrence into a specific ICAO category.
7 Jan 2001,Airbus A330-301,EI-DUB,Aer Lingus,0,"20 nm ENE of Charlottetown, Prince Edward Island","Aer Lingus flight EI111, an Airbus A330 enroute Shannon to New York-JFK, had been cleared from FL 380 to FL 390. When climbing through FL 386, the crew reported encountering severe turbulence and requested and was cleared to FL 370. At the time of the occurrence, the A330 was flying 6.34 nm behind a United Airlines Boeing 777 at FL 390. The minimum radar separation required was 5 nm. There had been no previous reports of turbulence to ATC. The A330 was subsequently handed over to Boston ARTCC without further comment from the crew. Approximately 40 minutes after the turbulence encounter, Boston ARTCC advised Moncton ACC that the Aer Lingus flight had declared a medical emergency due to passenger injuries sustained during the turbulence encounter.One passenger suffered serious injuries, two suffered minor injuries.",,En route,Passenger - Scheduled,Shannon Airport (SNN/EINN),"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",,"20 nm ENE of Charlottetown, Prince Edward Island -Canada",TURB,Turbulence Encounter,0.95,"The report describes an encounter with severe turbulence during the en route phase, resulting in passenger injuries. This fits the definition of a turbulence encounter."
8 Jan 2001,Boeing 727-23F,D2-FOO,Air Gemini Cargo,0,Luanda Airport (LAD),,,Landing,Unknown,,Luanda Airport (LAD/FNLU),,Luanda Airport (LAD) -Angola,UNK,Unknown or Undetermined,0.5,The report lacks sufficient information to classify the occurrence into a specific ICAO category.
8 Jan 2001,CASA/Nurtanio NC-212-MP Aviocar 200,U-614,Tentara Nasional Indonesia-AL (Navy),9,near Silimo,The Navy aircraft departed Timika at 10:25 for a 90-minute flight to Jayapura. The wreckage was found to have struck Trikora peak at an altitude of 11800 feet in an area of mountainous jungle.,,En route,Military,Timika-Moses Kilangin (Tembagapura) Airport (TIM/WABP),Jayapura-Sentani Airport (DJJ/WAJJ),,near Silimo -Indonesia,CFIT,Controlled Flight Into Terrain,0.95,The aircraft collided with terrain (Trikora peak) during the en route phase without indication of loss of control.
8 Jan 2001,Bombardier CRJ-100ER,N784CA,Comair,0,"Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW)","An unoccupied van rolled backward and impacted the left side of the airplane causing damage. An airport police report stated, ""I [the investigating police officer] interviewed the driver [of the van] who stated that the vehicle had been parked about twenty yards in front of the aircraft for about two minutes before the incident.  The driver [of the van] stated that he went to check oil fittings and does not know how the vehicle struck the aircraft.""  The reported stated that the captain of the aircraft was interviewed and, ""...He [the captain of the aircraft] observed the vehicle drive towards and then strike the aircraft moving the aircraft sideways approx. [approximately] 10 inches.""  Post-accident inspection of the 1988 Dodge Ram Van failed to reveal any anomalies that would prevent the normal operation of the vehicle, specifically the parking brake, the column shifter, and the parking gear.Probable Cause: The vehicle driver's inadvertent failure to place the column shifter into the parking gear.  A factor to the accident was the vehicle.",,Standing,Passenger - Scheduled,"Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW)","Cincinnati/Northern Kentucky Airport, KY (CVG/KCVG)",,"Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW) -United States of America",GCOL,Ground Collision,0.95,"The incident involved a collision between an unoccupied van and an aircraft while both were on the ground, which fits the definition of a ground collision."
